Generation,Fitness Avg,Fitness Best,Execution Time
1,15200.32142857143,18085,12177144.765853882
2,8197.628571428571,18085,12177144.765853882
3,10543.364285714286,18584,12177144.765853882
4,9857.642857142857,18584,12177144.765853882
5,11928.75,18812,12177144.765853882
6,10516.8,18812,12177144.765853882
7,10648.642857142857,18812,12177144.765853882
8,10671.342857142858,18988,12177144.765853882
9,11689.014285714286,19068,12177144.765853882
10,11732.228571428572,19068,12177144.765853882
11,12197.364285714286,19408,12177144.765853882
12,11539.971428571429,19408,12177144.765853882
13,11402.021428571428,19408,12177144.765853882
14,11981.371428571429,19408,12177144.765853882
15,11262.107142857143,19408,12177144.765853882
16,10676.171428571428,19454,12177144.765853882
17,12311.007142857143,19454,12177144.765853882
18,11564.642857142857,19454,12177144.765853882
19,12856.485714285714,19454,12177144.765853882
20,11123.457142857143,19454,12177144.765853882
21,11160.314285714287,19454,12177144.765853882
22,12366.192857142858,19454,12177144.765853882
23,13616.628571428571,19454,12177144.765853882
24,11034.907142857142,19454,12177144.765853882
25,12077.942857142858,19454,12177144.765853882
26,12976.435714285713,19454,12177144.765853882
27,11523.342857142858,19454,12177144.765853882
28,12141.871428571429,19454,12177144.765853882
29,13437.92857142857,19454,12177144.765853882
30,12900.05,19454,12177144.765853882
31,13801.157142857142,19454,12177144.765853882
32,13516.271428571428,19481,12177144.765853882
33,14091.714285714286,19481,12177144.765853882
34,12438.221428571429,19481,12177144.765853882
35,13553.292857142857,19481,12177144.765853882
36,13485.857142857143,19481,12177144.765853882
37,12726.842857142858,19481,12177144.765853882
38,13325.264285714286,19481,12177144.765853882
39,13238.264285714286,19481,12177144.765853882
40,12663.635714285714,19481,12177144.765853882
41,13342.828571428572,19481,12177144.765853882
42,14322.728571428572,19481,12177144.765853882
43,12895.714285714286,19481,12177144.765853882
44,13265.17857142857,19481,12177144.765853882
45,13342.592857142858,19481,12177144.765853882
46,13207.335714285715,19481,12177144.765853882
47,13370.0,19481,12177144.765853882
48,12646.4,19481,12177144.765853882
49,13741.414285714285,19481,12177144.765853882
50,13146.714285714286,19481,12177144.765853882
51,12225.357142857143,19522,12177144.765853882
52,11827.714285714286,19522,12177144.765853882
53,13546.892857142857,19522,12177144.765853882
54,12963.25,19544,12177144.765853882
55,13109.514285714286,19544,12177144.765853882
56,12025.1,19544,12177144.765853882
57,12327.914285714285,19544,12177144.765853882
