Generation,Fitness Avg,Fitness Best,Execution Time
1,11440.350101010103,15167,6024332.175254822
2,8178.565656565659,15006,6024332.175254822
3,8435.704545454548,15006,6024332.175254822
4,8579.727272727268,15240,6024332.175254822
5,8964.116464646464,15226,6024332.175254822
6,9370.791313131316,15226,6024332.175254822
7,9658.32131313131,15226,6024332.175254822
8,9943.02909090909,15479,6024332.175254822
9,10210.90676767677,15479,6024332.175254822
10,10501.344242424244,15479,6024332.175254822
11,10734.055959595958,15479,6024332.175254822
12,10960.27090909091,15479,6024332.175254822
13,11127.209292929296,15512,6024332.175254822
14,11502.623939393934,15596,6024332.175254822
15,11573.9001010101,15654,6024332.175254822
16,11680.90818181818,15654,6024332.175254822
17,11788.89242424243,15740,6024332.175254822
18,11967.528585858592,15740,6024332.175254822
19,12088.341616161619,15740,6024332.175254822
20,12300.536767676767,15778,6024332.175254822
21,12509.331717171723,15778,6024332.175254822
22,12610.060707070712,15778,6024332.175254822
23,12603.944848484847,15778,6024332.175254822
24,12726.962525252524,15778,6024332.175254822
25,12620.927878787887,15778,6024332.175254822
26,12798.0808080808,15778,6024332.175254822
27,12879.469898989899,15778,6024332.175254822
28,13003.701313131312,15778,6024332.175254822
29,12908.510303030305,15778,6024332.175254822
30,12930.969393939393,15778,6024332.175254822
31,12927.38454545454,15778,6024332.175254822
32,13030.123434343437,15778,6024332.175254822
33,12899.149292929296,15778,6024332.175254822
34,12991.477171717177,15778,6024332.175254822
35,12960.67616161616,15778,6024332.175254822
36,12994.511414141412,15778,6024332.175254822
37,12980.570000000002,15778,6024332.175254822
38,13071.518484848488,15778,6024332.175254822
39,13085.412323232316,15778,6024332.175254822
40,13143.623535353538,15778,6024332.175254822
41,12995.27181818182,15778,6024332.175254822
42,13069.389595959598,15778,6024332.175254822
43,13073.078383838389,15778,6024332.175254822
44,13040.700505050501,15778,6024332.175254822
45,13170.251717171717,15778,6024332.175254822
46,13154.46292929293,15778,6024332.175254822
47,12987.639393939397,15778,6024332.175254822
48,13058.216060606062,15778,6024332.175254822
49,13051.497171717168,15778,6024332.175254822
50,13132.868181818176,15778,6024332.175254822
51,13137.760202020192,15778,6024332.175254822
52,13149.423434343433,15778,6024332.175254822
53,13110.79303030303,15778,6024332.175254822
54,13088.070808080805,15778,6024332.175254822
55,13014.020404040399,15778,6024332.175254822
56,13110.283434343435,15778,6024332.175254822
57,13101.7293939394,15778,6024332.175254822
58,13126.833939393935,15778,6024332.175254822
59,13048.525656565656,15778,6024332.175254822
60,13095.935454545453,15778,6024332.175254822
61,13071.686060606065,15778,6024332.175254822
62,13073.637575757577,15778,6024332.175254822
63,13112.465353535352,15778,6024332.175254822
64,13092.920101010102,15778,6024332.175254822
65,13046.581414141418,15778,6024332.175254822
66,13113.545555555556,15778,6024332.175254822
67,13110.223030303034,15778,6024332.175254822
