Generation,Fitness Avg,Fitness Best,Execution Time
1,2577.6318181818183,3099,2565621.5357780457
2,1633.287878787879,3109,2565621.5357780457
3,1798.113131313131,3042,2565621.5357780457
4,1766.3779461279469,3085,2565621.5357780457
5,2013.2964646464643,3058,2565621.5357780457
6,2069.936363636363,3097,2565621.5357780457
7,1936.1139730639727,3072,2565621.5357780457
8,1991.5227272727275,3072,2565621.5357780457
9,2134.3592592592586,3111,2565621.5357780457
10,2177.1685185185183,3111,2565621.5357780457
11,2159.7457912457908,3091,2565621.5357780457
12,2169.650841750842,3091,2565621.5357780457
13,2042.6097643097635,3091,2565621.5357780457
14,2109.838215488215,3091,2565621.5357780457
15,2263.054713804714,3091,2565621.5357780457
16,2217.2378787878797,3091,2565621.5357780457
17,2225.2616161616156,3091,2565621.5357780457
18,2366.3277777777776,3091,2565621.5357780457
19,2213.5691919191922,3091,2565621.5357780457
20,2151.429797979798,3091,2565621.5357780457
21,2227.645622895623,3098,2565621.5357780457
22,2112.6109427609417,3125,2565621.5357780457
23,2230.291245791246,3125,2565621.5357780457
24,2206.4255892255896,3125,2565621.5357780457
25,2144.804882154883,3125,2565621.5357780457
26,2115.900000000001,3125,2565621.5357780457
27,2155.1730639730636,3082,2565621.5357780457
28,2181.517171717172,3098,2565621.5357780457
29,2124.267003367004,3125,2565621.5357780457
30,2037.4338383838383,3109,2565621.5357780457
31,2158.5563973063963,3125,2565621.5357780457
32,2107.374242424243,3125,2565621.5357780457
33,2143.278787878788,3109,2565621.5357780457
34,2197.8622895622884,3125,2565621.5357780457
35,2065.9898989898993,3125,2565621.5357780457
36,2120.875925925925,3109,2565621.5357780457
37,2272.252525252525,3109,2565621.5357780457
38,2120.456902356902,3109,2565621.5357780457
39,2249.8609427609435,3109,2565621.5357780457
40,2241.1500000000015,3109,2565621.5357780457
41,2274.3424242424253,3109,2565621.5357780457
42,2239.977946127947,3108,2565621.5357780457
43,2190.634175084175,3109,2565621.5357780457
44,2202.5227272727275,3109,2565621.5357780457
45,2260.2358585858588,3109,2565621.5357780457
46,2165.676262626262,3108,2565621.5357780457
47,2164.362626262626,3108,2565621.5357780457
48,2126.6702020202015,3109,2565621.5357780457
49,2191.864814814814,3109,2565621.5357780457
50,2063.412457912458,3100,2565621.5357780457
51,2113.362962962964,3111,2565621.5357780457
52,2152.671885521886,3111,2565621.5357780457
53,2237.6959595959597,3111,2565621.5357780457
54,2262.315319865319,3111,2565621.5357780457
55,2265.117171717171,3111,2565621.5357780457
56,2231.0084175084166,3086,2565621.5357780457
57,2387.4759259259254,3086,2565621.5357780457
58,2349.7464646464646,3113,2565621.5357780457
59,2238.281144781144,3111,2565621.5357780457
60,2146.089225589225,3111,2565621.5357780457
61,2140.462794612795,3111,2565621.5357780457
62,2266.7412457912465,3111,2565621.5357780457
63,2325.7643097643095,3112,2565621.5357780457
64,2148.2023569023568,3112,2565621.5357780457
65,2113.604882154883,3125,2565621.5357780457
66,2115.5860269360273,3139,2565621.5357780457
67,2204.576767676768,3107,2565621.5357780457
68,2202.547979797979,3107,2565621.5357780457
69,2212.3035353535347,3139,2565621.5357780457
70,2163.910606060606,3139,2565621.5357780457
