Generation,Fitness Avg,Fitness Best,Execution Time
1,2583.144781144781,3108,2115851.981639862
2,2042.6902356902365,3077,2115851.981639862
3,1989.354040404041,3077,2115851.981639862
4,2198.073737373738,3077,2115851.981639862
5,2254.915151515152,3090,2115851.981639862
6,2254.915824915824,3117,2115851.981639862
7,2464.7417508417498,3117,2115851.981639862
8,2566.6831649831656,3117,2115851.981639862
9,2552.8084175084173,3077,2115851.981639862
10,2584.116498316498,3077,2115851.981639862
11,2542.475925925925,3077,2115851.981639862
12,2611.1565656565654,3094,2115851.981639862
13,2580.1651515151516,3094,2115851.981639862
14,2657.918181818182,3094,2115851.981639862
15,2617.2567340067326,3094,2115851.981639862
16,2604.338047138048,3077,2115851.981639862
17,2583.9239057239056,3094,2115851.981639862
18,2641.5202020202014,3094,2115851.981639862
19,2685.3974747474745,3094,2115851.981639862
20,2676.6973063973064,3094,2115851.981639862
21,2600.5272727272722,3077,2115851.981639862
22,2698.292592592592,3085,2115851.981639862
23,2622.6218855218863,3101,2115851.981639862
24,2681.1180134680135,3101,2115851.981639862
25,2687.432491582491,3101,2115851.981639862
26,2631.9747474747473,3101,2115851.981639862
27,2581.43973063973,3121,2115851.981639862
28,2566.8557239057236,3121,2115851.981639862
29,2687.6829966329965,3121,2115851.981639862
30,2748.5075757575764,3121,2115851.981639862
31,2710.0126262626263,3112,2115851.981639862
32,2646.2254208754216,3112,2115851.981639862
33,2640.4109427609433,3112,2115851.981639862
34,2643.616835016835,3112,2115851.981639862
35,2603.5888888888885,3112,2115851.981639862
36,2661.230808080808,3112,2115851.981639862
37,2626.2412457912455,3112,2115851.981639862
38,2560.9425925925925,3112,2115851.981639862
39,2706.1089225589226,3112,2115851.981639862
40,2752.5920875420875,3112,2115851.981639862
41,2752.3523569023564,3112,2115851.981639862
42,2750.038047138047,3112,2115851.981639862
43,2677.150841750841,3112,2115851.981639862
44,2574.0525252525244,3112,2115851.981639862
45,2679.5163299663304,3112,2115851.981639862
46,2695.462794612794,3112,2115851.981639862
47,2656.655555555555,3103,2115851.981639862
48,2656.622727272727,3103,2115851.981639862
49,2682.1387205387214,3101,2115851.981639862
50,2673.8558922558927,3111,2115851.981639862
51,2721.2632996632997,3111,2115851.981639862
52,2607.637037037037,3111,2115851.981639862
53,2613.6468013468,3111,2115851.981639862
54,2624.2930976430976,3111,2115851.981639862
55,2611.11430976431,3112,2115851.981639862
56,2652.5250841750835,3112,2115851.981639862
57,2649.165151515151,3112,2115851.981639862
58,2646.566498316498,3124,2115851.981639862
59,2657.2873737373734,3124,2115851.981639862
60,2634.4026936026926,3124,2115851.981639862
61,2657.6180134680126,3124,2115851.981639862
62,2694.8099326599327,3124,2115851.981639862
63,2667.908080808081,3111,2115851.981639862
64,2659.270875420875,3111,2115851.981639862
65,2573.9957912457908,3111,2115851.981639862
66,2591.4171717171707,3117,2115851.981639862
67,2566.3786195286198,3117,2115851.981639862
68,2646.5826599326597,3117,2115851.981639862
69,2686.795454545454,3117,2115851.981639862
70,2649.723737373737,3111,2115851.981639862
71,2623.887037037037,3117,2115851.981639862
72,2605.3944444444446,3117,2115851.981639862
73,2652.982828282828,3117,2115851.981639862
74,2643.431818181818,3111,2115851.981639862
75,2596.0143097643104,3117,2115851.981639862
76,2726.2149831649836,3117,2115851.981639862
77,2680.030471380471,3117,2115851.981639862
78,2685.566498316498,3117,2115851.981639862
79,2688.331818181818,3117,2115851.981639862
80,2585.465151515152,3101,2115851.981639862
81,2630.884680134679,3117,2115851.981639862
82,2644.431481481481,3117,2115851.981639862
83,2666.2863636363636,3117,2115851.981639862
84,2642.0319865319866,3117,2115851.981639862
85,2719.3708754208756,3117,2115851.981639862
86,2673.7316498316495,3117,2115851.981639862
87,2755.7533670033667,3117,2115851.981639862
88,2781.6291245791244,3117,2115851.981639862
89,2730.359595959596,3117,2115851.981639862
90,2694.2419191919194,3117,2115851.981639862
91,2739.822895622895,3117,2115851.981639862
92,2774.293097643097,3117,2115851.981639862
93,2594.7663299663304,3117,2115851.981639862
94,2666.086531986532,3117,2115851.981639862
95,2764.853367003367,3117,2115851.981639862
96,2722.8138047138045,3117,2115851.981639862
97,2707.7158249158247,3117,2115851.981639862
98,2690.8843434343444,3117,2115851.981639862
99,2677.041414141414,3117,2115851.981639862
100,2711.543771043771,3117,2115851.981639862
101,2695.7323232323233,3117,2115851.981639862
102,2756.649831649832,3117,2115851.981639862
103,2690.229124579125,3112,2115851.981639862
104,2749.666835016835,3100,2115851.981639862
105,2669.1503367003365,3100,2115851.981639862
106,2666.7336700336696,3100,2115851.981639862
107,2665.544276094275,3112,2115851.981639862
108,2562.692760942761,3112,2115851.981639862
109,2661.1764309764303,3112,2115851.981639862
110,2654.2599326599334,3112,2115851.981639862
111,2726.97558922559,3112,2115851.981639862
