Generation,Fitness Avg,Fitness Best,Execution Time
1,15123.97128571428,19083,10890955.410003662
2,8932.388214285715,19103,10890955.410003662
3,9398.292357142856,19075,10890955.410003662
4,9870.93207142857,19347,10890955.410003662
5,10133.536857142855,19479,10890955.410003662
6,10405.124999999998,19236,10890955.410003662
7,10788.053285714286,19653,10890955.410003662
8,10750.128642857144,19653,10890955.410003662
9,10950.28664285714,19455,10890955.410003662
10,10985.649500000001,19536,10890955.410003662
11,11113.060857142855,19581,10890955.410003662
12,11252.733999999999,19630,10890955.410003662
13,11370.766428571427,19633,10890955.410003662
14,11386.354071428574,19875,10890955.410003662
15,11489.629428571432,19940,10890955.410003662
16,11548.857571428574,19940,10890955.410003662
17,11546.457285714287,19875,10890955.410003662
18,11698.07421428571,19875,10890955.410003662
19,11737.667571428576,19956,10890955.410003662
20,11875.485428571428,19956,10890955.410003662
21,11832.65642857143,19956,10890955.410003662
22,11951.48171428571,19888,10890955.410003662
23,11989.955571428574,20012,10890955.410003662
24,11930.54707142857,19981,10890955.410003662
25,11884.32957142857,20020,10890955.410003662
26,11966.887571428571,20020,10890955.410003662
27,11808.892000000003,20020,10890955.410003662
28,11881.722285714293,20020,10890955.410003662
29,11997.354357142856,20020,10890955.410003662
30,12015.580571428565,20020,10890955.410003662
31,12098.019928571428,20020,10890955.410003662
32,12142.994928571426,20020,10890955.410003662
33,12155.515071428572,20020,10890955.410003662
34,12264.179214285712,20020,10890955.410003662
35,12138.24142857143,20020,10890955.410003662
36,12202.903571428573,20020,10890955.410003662
37,12119.416285714287,20020,10890955.410003662
38,12163.884357142866,20020,10890955.410003662
39,12116.614214285717,20036,10890955.410003662
40,12271.172428571428,20020,10890955.410003662
41,12358.874785714286,20020,10890955.410003662
42,12179.736071428568,20020,10890955.410003662
43,12395.380500000003,20088,10890955.410003662
44,12291.764857142862,20020,10890955.410003662
45,12407.941500000006,20020,10890955.410003662
46,12321.034928571427,20020,10890955.410003662
47,12391.021714285715,20020,10890955.410003662
48,12380.728714285715,20077,10890955.410003662
49,12331.04342857143,20020,10890955.410003662
50,12407.790428571427,20030,10890955.410003662
51,12508.19978571428,20077,10890955.410003662
52,12381.63007142857,20113,10890955.410003662
53,12434.192142857139,20041,10890955.410003662
54,12507.594285714289,20052,10890955.410003662
55,12571.401500000002,20052,10890955.410003662
56,12457.06964285714,20052,10890955.410003662
57,12425.815571428573,20075,10890955.410003662
58,12443.853142857142,20046,10890955.410003662
59,12554.851857142856,20092,10890955.410003662
60,12391.33128571429,20092,10890955.410003662
61,12598.72385714286,20113,10890955.410003662
