Generation,Fitness Avg,Fitness Best,Execution Time
1,15019.778571428571,18022,10000998.497009277
2,8480.264285714286,18235,10000998.497009277
3,8371.085714285715,18235,10000998.497009277
4,9623.614285714286,17959,10000998.497009277
5,11337.4,18414,10000998.497009277
6,11785.257142857143,18469,10000998.497009277
7,11290.342857142858,18734,10000998.497009277
8,10088.15,18698,10000998.497009277
9,10874.985714285714,18441,10000998.497009277
10,11851.735714285714,18987,10000998.497009277
11,11874.621428571429,18987,10000998.497009277
12,10659.32142857143,18946,10000998.497009277
13,12603.607142857143,19205,10000998.497009277
14,10806.485714285714,19333,10000998.497009277
15,11762.357142857143,19333,10000998.497009277
16,11914.307142857142,19346,10000998.497009277
17,12841.457142857143,19333,10000998.497009277
18,11222.064285714287,19277,10000998.497009277
19,12569.407142857142,19342,10000998.497009277
20,11839.778571428571,19366,10000998.497009277
21,11513.721428571429,19380,10000998.497009277
22,11040.42857142857,19286,10000998.497009277
23,11989.1,19334,10000998.497009277
24,12605.471428571429,19334,10000998.497009277
25,11869.235714285714,19277,10000998.497009277
26,13061.478571428572,19450,10000998.497009277
27,11935.45,19532,10000998.497009277
28,11225.721428571429,19413,10000998.497009277
29,11763.75,19337,10000998.497009277
30,12863.67857142857,19494,10000998.497009277
31,11469.264285714286,19494,10000998.497009277
32,11303.25,19494,10000998.497009277
33,14769.485714285714,19523,10000998.497009277
34,11657.478571428572,19537,10000998.497009277
35,11570.707142857143,19537,10000998.497009277
36,13049.371428571429,19566,10000998.497009277
37,11121.157142857142,19596,10000998.497009277
38,12104.792857142857,19596,10000998.497009277
39,11707.621428571429,19596,10000998.497009277
40,12790.107142857143,19596,10000998.497009277
41,12473.692857142858,19617,10000998.497009277
42,12640.907142857142,19715,10000998.497009277
43,12939.035714285714,19656,10000998.497009277
44,13195.65,19617,10000998.497009277
45,12261.857142857143,19638,10000998.497009277
46,12815.135714285714,19638,10000998.497009277
47,13720.757142857143,19666,10000998.497009277
48,13100.657142857142,19666,10000998.497009277
49,10597.971428571429,19666,10000998.497009277
50,11196.292857142857,19666,10000998.497009277
51,10795.342857142858,19666,10000998.497009277
52,11818.492857142857,19659,10000998.497009277
53,13910.371428571429,19659,10000998.497009277
