Generation,Fitness Avg,Fitness Best,Execution Time
1,15136.51871428572,19150,10925479.08782959
2,8465.425785714287,18989,10925479.08782959
3,9058.79214285714,19338,10925479.08782959
4,9654.926357142858,19074,10925479.08782959
5,10093.7255,19218,10925479.08782959
6,10451.824214285716,19222,10925479.08782959
7,10479.18642857143,19460,10925479.08782959
8,10695.350571428567,19306,10925479.08782959
9,10656.282499999998,19466,10925479.08782959
10,11054.472642857141,19716,10925479.08782959
11,11090.153714285709,19694,10925479.08782959
12,11215.144857142868,19694,10925479.08782959
13,11323.350357142861,19694,10925479.08782959
14,11350.230142857139,19834,10925479.08782959
15,11407.422214285714,19721,10925479.08782959
16,11514.585214285711,19848,10925479.08782959
17,11495.74742857143,19904,10925479.08782959
18,11582.830714285712,19824,10925479.08782959
19,11691.80914285715,19904,10925479.08782959
20,11649.433428571427,19770,10925479.08782959
21,11608.898785714287,19838,10925479.08782959
22,11770.745285714287,19832,10925479.08782959
23,11714.962642857137,19989,10925479.08782959
24,11781.924785714284,20043,10925479.08782959
25,11881.74892857143,19951,10925479.08782959
26,11849.812500000002,19951,10925479.08782959
27,11945.61292857143,20003,10925479.08782959
28,11966.532714285713,20038,10925479.08782959
29,11933.089142857141,20022,10925479.08782959
30,12151.230214285717,19996,10925479.08782959
31,12157.963642857143,20095,10925479.08782959
32,12014.943428571427,20126,10925479.08782959
33,12051.676000000001,20122,10925479.08782959
34,11928.38564285714,20175,10925479.08782959
35,12162.267214285723,20175,10925479.08782959
36,11964.318928571427,20159,10925479.08782959
37,12179.137357142856,20122,10925479.08782959
38,11983.16464285714,20122,10925479.08782959
39,12213.777285714283,20122,10925479.08782959
40,12215.343142857142,20122,10925479.08782959
41,12227.271785714283,20122,10925479.08782959
42,12078.74842857143,20122,10925479.08782959
43,12093.552499999998,20122,10925479.08782959
44,12257.639571428572,20122,10925479.08782959
45,12194.214071428576,20128,10925479.08782959
46,12139.222214285714,20128,10925479.08782959
47,12228.905928571434,20128,10925479.08782959
48,12174.098571428569,20128,10925479.08782959
49,12269.857571428574,20128,10925479.08782959
50,12243.42764285714,20128,10925479.08782959
51,12305.118000000002,20128,10925479.08782959
52,12338.05971428572,20128,10925479.08782959
53,12289.521571428575,20128,10925479.08782959
54,12272.642571428569,20143,10925479.08782959
55,12264.709214285715,20145,10925479.08782959
56,12391.095214285711,20143,10925479.08782959
57,12481.658928571418,20143,10925479.08782959
58,12317.657928571423,20143,10925479.08782959
59,12403.93657142857,20143,10925479.08782959
60,12591.836928571422,20149,10925479.08782959
61,12497.160928571431,20149,10925479.08782959
62,12509.535857142857,20149,10925479.08782959
63,12334.584499999999,20143,10925479.08782959
64,12483.905,20144,10925479.08782959
65,12526.952714285719,20150,10925479.08782959
66,12559.176428571429,20145,10925479.08782959
67,12336.065999999997,20176,10925479.08782959
68,12384.05042857143,20145,10925479.08782959
69,12645.539357142858,20145,10925479.08782959
70,12468.947571428575,20145,10925479.08782959
71,12565.600714285716,20145,10925479.08782959
72,12661.53521428571,20145,10925479.08782959
73,12745.415285714284,20145,10925479.08782959
74,12587.352214285715,20145,10925479.08782959
75,12692.056714285713,20145,10925479.08782959
76,12458.280642857146,20145,10925479.08782959
77,12776.8145,20163,10925479.08782959
78,12818.295714285714,20145,10925479.08782959
79,12778.113785714288,20178,10925479.08782959
80,12955.069928571422,20145,10925479.08782959
81,12830.515714285715,20193,10925479.08782959
82,12811.480642857141,20193,10925479.08782959
83,12771.910928571424,20145,10925479.08782959
84,12771.30478571428,20166,10925479.08782959
85,12853.013285714287,20178,10925479.08782959
86,12858.872999999994,20178,10925479.08782959
87,12915.381714285715,20178,10925479.08782959
88,12805.406785714287,20178,10925479.08782959
89,13014.003857142849,20178,10925479.08782959
90,12870.813071428567,20178,10925479.08782959
91,12849.674142857146,20178,10925479.08782959
92,12947.75492857143,20178,10925479.08782959
93,12931.517857142862,20178,10925479.08782959
94,12961.983928571428,20178,10925479.08782959
95,12828.517357142857,20178,10925479.08782959
96,13010.607214285712,20186,10925479.08782959
97,13009.288214285714,20186,10925479.08782959
98,13081.897357142854,20178,10925479.08782959
99,12971.766571428569,20178,10925479.08782959
100,12965.168214285713,20178,10925479.08782959
101,13073.98564285714,20178,10925479.08782959
102,13027.860357142858,20178,10925479.08782959
103,13120.889142857135,20178,10925479.08782959
104,13173.321142857138,20178,10925479.08782959
105,13081.036857142853,20221,10925479.08782959
106,13035.960928571427,20199,10925479.08782959
107,13103.46378571429,20178,10925479.08782959
108,13079.829499999994,20212,10925479.08782959
109,13144.412142857142,20197,10925479.08782959
110,13078.471785714286,20178,10925479.08782959
111,13067.129928571427,20178,10925479.08782959
112,13144.285571428567,20184,10925479.08782959
113,13135.10971428571,20178,10925479.08782959
114,13258.64278571429,20178,10925479.08782959
115,13122.28292857143,20184,10925479.08782959
116,13057.803642857147,20194,10925479.08782959
117,13082.90064285714,20199,10925479.08782959
118,13135.216928571432,20192,10925479.08782959
119,13170.492500000002,20199,10925479.08782959
120,13192.510000000002,20199,10925479.08782959
121,13234.465500000002,20199,10925479.08782959
122,13165.763928571432,20199,10925479.08782959
123,13086.041000000001,20199,10925479.08782959
124,13171.858999999997,20199,10925479.08782959
125,13160.070714285719,20192,10925479.08782959
126,13103.429642857143,20192,10925479.08782959
127,13132.094928571432,20192,10925479.08782959
128,13211.23971428571,20192,10925479.08782959
129,13233.486999999992,20192,10925479.08782959
130,13156.35514285714,20192,10925479.08782959
131,13213.752428571426,20192,10925479.08782959
132,13318.265642857143,20192,10925479.08782959
133,13211.211214285715,20192,10925479.08782959
134,13353.291714285706,20192,10925479.08782959
135,13340.151857142859,20192,10925479.08782959
136,13021.772500000003,20192,10925479.08782959
137,13229.339428571424,20192,10925479.08782959
138,13086.424071428572,20192,10925479.08782959
139,13046.425214285713,20192,10925479.08782959
140,13196.931428571432,20192,10925479.08782959
141,13031.608000000006,20192,10925479.08782959
142,13148.612571428572,20192,10925479.08782959
143,13248.273285714286,20192,10925479.08782959
144,13281.292857142857,20192,10925479.08782959
145,13080.7805,20192,10925479.08782959
146,13206.5145,20192,10925479.08782959
147,13218.286500000006,20192,10925479.08782959
148,13259.709857142858,20192,10925479.08782959
149,13202.646071428573,20192,10925479.08782959
150,13184.463357142862,20192,10925479.08782959
151,13334.421142857147,20192,10925479.08782959
152,13248.298428571434,20192,10925479.08782959
153,13160.112571428574,20192,10925479.08782959
154,13152.603928571418,20192,10925479.08782959
155,13256.915,20192,10925479.08782959
156,13181.162214285718,20192,10925479.08782959
157,13209.689071428566,20192,10925479.08782959
158,13147.03114285714,20192,10925479.08782959
159,13114.235214285716,20192,10925479.08782959
160,13137.908071428565,20197,10925479.08782959
161,13100.877285714287,20197,10925479.08782959
162,13084.42571428572,20192,10925479.08782959
163,13139.994642857138,20192,10925479.08782959
164,13230.15392857142,20192,10925479.08782959
165,13153.436357142858,20192,10925479.08782959
166,13128.328928571427,20192,10925479.08782959
167,13292.370928571429,20192,10925479.08782959
168,13241.43328571428,20192,10925479.08782959
169,13325.220642857144,20192,10925479.08782959
170,13177.066071428564,20192,10925479.08782959
171,13248.298857142863,20192,10925479.08782959
172,13054.552,20192,10925479.08782959
173,13153.313071428574,20192,10925479.08782959
174,13154.697928571424,20192,10925479.08782959
175,13234.482142857145,20192,10925479.08782959
176,13210.6835,20192,10925479.08782959
177,13198.13321428572,20192,10925479.08782959
178,13118.52178571429,20192,10925479.08782959
179,13227.816999999997,20192,10925479.08782959
180,13195.416499999994,20192,10925479.08782959
181,13295.580285714293,20192,10925479.08782959
182,13144.485642857137,20192,10925479.08782959
183,13141.992000000002,20192,10925479.08782959
