Generation,Fitness Avg,Fitness Best,Execution Time
1,15137.664,19268,11129594.3069458
2,9280.41192857143,19533,11129594.3069458
3,9721.970785714286,19054,11129594.3069458
4,10433.933142857142,19218,11129594.3069458
5,10813.816214285715,19362,11129594.3069458
6,11076.83907142857,19218,11129594.3069458
7,11439.85985714286,19311,11129594.3069458
8,11630.891428571429,19633,11129594.3069458
9,11923.888642857142,19633,11129594.3069458
10,12197.545571428567,19633,11129594.3069458
11,12471.877071428567,19953,11129594.3069458
12,12597.954928571427,19846,11129594.3069458
13,12925.308142857144,19846,11129594.3069458
14,13008.60085714286,19846,11129594.3069458
15,13284.344000000008,19846,11129594.3069458
16,13487.982428571435,19905,11129594.3069458
17,13610.519642857153,19905,11129594.3069458
18,13940.603928571429,19910,11129594.3069458
19,14015.958071428568,19955,11129594.3069458
20,14166.666571428565,19989,11129594.3069458
21,14486.10364285714,19989,11129594.3069458
22,14561.28142857143,19961,11129594.3069458
23,14762.598928571431,19961,11129594.3069458
24,14846.673499999999,19961,11129594.3069458
25,15084.420714285714,19955,11129594.3069458
26,15090.271285714281,19955,11129594.3069458
27,15240.488714285713,19955,11129594.3069458
28,15515.155785714293,19955,11129594.3069458
29,15602.352857142869,19955,11129594.3069458
30,15688.49957142857,19955,11129594.3069458
31,15873.690928571434,19955,11129594.3069458
32,15951.493357142852,19955,11129594.3069458
33,15864.583142857142,19955,11129594.3069458
34,16058.85199999999,19955,11129594.3069458
35,16124.207714285723,19955,11129594.3069458
36,16199.8585,19955,11129594.3069458
37,16359.4435,19955,11129594.3069458
38,16284.133214285708,19955,11129594.3069458
39,16443.272,19955,11129594.3069458
40,16645.95621428571,19978,11129594.3069458
41,16593.54921428571,19978,11129594.3069458
42,16574.039142857142,19978,11129594.3069458
43,16731.483857142855,19978,11129594.3069458
44,16756.42214285714,19978,11129594.3069458
45,16754.450642857148,19978,11129594.3069458
46,16708.113857142856,19978,11129594.3069458
47,16831.55185714286,19978,11129594.3069458
48,16790.753642857144,19978,11129594.3069458
49,16720.545357142855,19978,11129594.3069458
50,16744.38114285714,19978,11129594.3069458
51,16894.53150000001,19978,11129594.3069458
52,16767.23785714286,19978,11129594.3069458
53,16774.697142857138,19978,11129594.3069458
54,16902.289928571434,19978,11129594.3069458
55,16867.987785714282,19978,11129594.3069458
56,16941.33200000001,19978,11129594.3069458
57,16754.855928571425,19978,11129594.3069458
58,16860.46364285715,19978,11129594.3069458
59,16942.909999999996,19978,11129594.3069458
60,16837.699071428575,19978,11129594.3069458
61,16806.8495,19978,11129594.3069458
62,16863.60299999999,19978,11129594.3069458
63,16781.853928571432,19978,11129594.3069458
64,16824.084857142854,19978,11129594.3069458
65,16945.29621428571,19978,11129594.3069458
66,16811.81914285714,19978,11129594.3069458
67,16760.12335714286,19978,11129594.3069458
68,16869.057785714293,19978,11129594.3069458
69,16775.974714285712,19978,11129594.3069458
70,16850.713785714284,19978,11129594.3069458
71,16835.88007142857,19978,11129594.3069458
72,16805.410428571424,19978,11129594.3069458
73,16898.584642857142,19978,11129594.3069458
74,16928.460857142854,19978,11129594.3069458
75,16856.572785714285,19978,11129594.3069458
76,16839.58964285714,19978,11129594.3069458
77,16775.2475,19978,11129594.3069458
78,16745.345142857135,19978,11129594.3069458
79,16840.794928571424,19978,11129594.3069458
80,16796.481714285717,19978,11129594.3069458
81,16903.85964285714,19978,11129594.3069458
82,16795.407928571425,19978,11129594.3069458
83,16846.667642857145,19978,11129594.3069458
84,16849.809500000003,19978,11129594.3069458
85,16841.618214285703,19978,11129594.3069458
86,16824.23964285715,19978,11129594.3069458
87,16833.15057142857,19978,11129594.3069458
88,16870.763785714287,19978,11129594.3069458
89,16855.732142857145,19978,11129594.3069458
90,16836.606571428565,19978,11129594.3069458
91,16843.397571428573,19978,11129594.3069458
92,16850.683785714285,19978,11129594.3069458
93,16871.752642857136,19978,11129594.3069458
94,16843.644642857143,19978,11129594.3069458
95,16925.591428571435,19978,11129594.3069458
96,16836.717,19978,11129594.3069458
