Generation,Fitness Avg,Fitness Best,Execution Time
1,78.43142857142858,18401,9221795.77589035
2,3779.333714285716,20265,9221795.77589035
3,6951.4171428571435,20265,9221795.77589035
4,9248.864499999998,20265,9221795.77589035
5,10214.576857142854,20265,9221795.77589035
6,10579.826928571432,20265,9221795.77589035
7,10912.560714285715,20265,9221795.77589035
8,11029.922857142854,20265,9221795.77589035
9,11232.606285714288,20265,9221795.77589035
10,11558.198,20265,9221795.77589035
11,11672.981214285712,20265,9221795.77589035
12,11799.06621428571,20265,9221795.77589035
13,11842.737785714287,20265,9221795.77589035
14,12088.760571428575,20265,9221795.77589035
15,12220.263071428566,20265,9221795.77589035
16,12207.37164285714,20265,9221795.77589035
17,12353.713428571431,20265,9221795.77589035
18,12302.590928571426,20265,9221795.77589035
19,12468.247785714288,20265,9221795.77589035
20,12404.56357142857,20265,9221795.77589035
21,12426.844714285715,20265,9221795.77589035
22,12604.270428571426,20265,9221795.77589035
23,12720.097785714288,20265,9221795.77589035
24,12654.23271428571,20265,9221795.77589035
25,12895.621785714282,20265,9221795.77589035
26,12798.981142857136,20265,9221795.77589035
27,12702.617,20265,9221795.77589035
28,12795.949428571435,20265,9221795.77589035
29,12834.276928571433,20265,9221795.77589035
30,12810.670999999997,20265,9221795.77589035
31,12897.717928571426,20265,9221795.77589035
32,12894.372142857143,20265,9221795.77589035
33,13004.553357142857,20265,9221795.77589035
34,12915.025571428574,20265,9221795.77589035
35,12899.247642857146,20265,9221795.77589035
36,12885.276785714288,20265,9221795.77589035
37,12967.116142857143,20265,9221795.77589035
38,12980.819714285717,20265,9221795.77589035
39,12983.774714285713,20265,9221795.77589035
40,12922.509500000002,20265,9221795.77589035
41,13000.89171428571,20265,9221795.77589035
42,13010.480000000003,20265,9221795.77589035
43,12967.57085714286,20265,9221795.77589035
44,12969.56885714286,20265,9221795.77589035
45,12965.301000000001,20265,9221795.77589035
46,13058.699714285718,20265,9221795.77589035
47,12970.630714285717,20265,9221795.77589035
48,12869.510142857143,20265,9221795.77589035
49,12961.941571428573,20265,9221795.77589035
50,13047.181928571432,20265,9221795.77589035
51,13097.543571428572,20265,9221795.77589035
52,13213.20921428572,20265,9221795.77589035
53,12978.662142857142,20265,9221795.77589035
54,12980.064285714285,20265,9221795.77589035
55,13010.926928571425,20265,9221795.77589035
56,13098.224642857138,20265,9221795.77589035
57,13111.62871428571,20265,9221795.77589035
58,13271.744499999999,20265,9221795.77589035
59,13245.78185714285,20265,9221795.77589035
60,13217.28621428571,20265,9221795.77589035
61,13125.472571428567,20265,9221795.77589035
62,13259.695928571433,20265,9221795.77589035
63,13221.855642857145,20265,9221795.77589035
64,13264.530285714285,20265,9221795.77589035
65,13283.467571428571,20265,9221795.77589035
66,13328.895000000002,20265,9221795.77589035
67,13356.255642857139,20265,9221795.77589035
68,13277.785714285708,20265,9221795.77589035
69,13426.190571428575,20265,9221795.77589035
70,13389.586071428574,20265,9221795.77589035
71,13292.539142857147,20265,9221795.77589035
72,13313.985500000003,20265,9221795.77589035
73,13243.277214285716,20265,9221795.77589035
74,13233.9575,20265,9221795.77589035
75,13288.11942857144,20265,9221795.77589035
76,13277.906785714284,20265,9221795.77589035
77,13266.880785714287,20265,9221795.77589035
78,13273.775642857141,20265,9221795.77589035
79,13260.006785714284,20265,9221795.77589035
80,13235.721428571434,20265,9221795.77589035
81,13282.410785714283,20265,9221795.77589035
82,13155.21057142857,20265,9221795.77589035
83,13146.170000000002,20265,9221795.77589035
84,13090.106071428561,20265,9221795.77589035
85,13296.730000000003,20265,9221795.77589035
86,13032.241285714286,20265,9221795.77589035
87,13156.874571428565,20265,9221795.77589035
88,13264.870714285713,20265,9221795.77589035
89,13170.846500000003,20265,9221795.77589035
90,13328.564428571432,20265,9221795.77589035
91,13186.464071428569,20265,9221795.77589035
92,13196.699642857147,20265,9221795.77589035
93,13322.769642857143,20265,9221795.77589035
94,13318.419142857136,20265,9221795.77589035
95,13333.781428571436,20265,9221795.77589035
96,13264.007785714284,20265,9221795.77589035
97,13365.932999999997,20265,9221795.77589035
98,13428.898642857144,20265,9221795.77589035
99,13413.080714285712,20265,9221795.77589035
100,13394.43492857143,20265,9221795.77589035
101,13193.874714285712,20265,9221795.77589035
102,13243.12242857143,20265,9221795.77589035
103,13379.868857142865,20265,9221795.77589035
104,13371.99807142858,20265,9221795.77589035
105,13237.36442857143,20265,9221795.77589035
106,13287.20321428571,20265,9221795.77589035
107,13327.922714285705,20265,9221795.77589035
108,13444.259642857145,20265,9221795.77589035
