Generation,Fitness Avg,Fitness Best,Execution Time
1,126.53571428571429,17715,9108790.397644043
2,3317.6,17715,9108790.397644043
3,5394.907142857143,17715,9108790.397644043
4,8740.528571428571,18061,9108790.397644043
5,10462.971428571429,18061,9108790.397644043
6,10502.171428571428,18061,9108790.397644043
7,10653.664285714285,18061,9108790.397644043
8,11522.735714285714,18403,9108790.397644043
9,10182.1,18403,9108790.397644043
10,10831.42857142857,18528,9108790.397644043
11,10593.442857142858,18605,9108790.397644043
12,10596.128571428571,18605,9108790.397644043
13,11231.985714285714,18605,9108790.397644043
14,11197.814285714287,18874,9108790.397644043
15,10362.192857142858,18874,9108790.397644043
16,10998.521428571428,18874,9108790.397644043
17,11096.121428571429,18874,9108790.397644043
18,10287.607142857143,18938,9108790.397644043
19,11513.164285714285,18938,9108790.397644043
20,11023.207142857143,19013,9108790.397644043
21,11961.221428571429,19078,9108790.397644043
22,12609.621428571429,19078,9108790.397644043
23,11536.042857142857,19078,9108790.397644043
24,11332.42857142857,19112,9108790.397644043
25,11149.092857142858,19508,9108790.397644043
26,12146.057142857142,19508,9108790.397644043
27,13288.95,19508,9108790.397644043
28,11650.528571428571,19508,9108790.397644043
29,12101.3,19508,9108790.397644043
30,11385.228571428572,19711,9108790.397644043
31,11026.778571428571,19711,9108790.397644043
32,13629.292857142857,19711,9108790.397644043
33,12708.778571428571,19711,9108790.397644043
34,11206.814285714287,19725,9108790.397644043
35,12245.828571428572,19725,9108790.397644043
36,11783.171428571428,19839,9108790.397644043
37,11407.842857142858,19839,9108790.397644043
38,13695.292857142857,19925,9108790.397644043
39,11572.314285714287,19925,9108790.397644043
40,12496.221428571429,19925,9108790.397644043
41,11703.271428571428,19925,9108790.397644043
42,11462.6,19925,9108790.397644043
43,12601.32142857143,19925,9108790.397644043
44,13870.992857142857,19925,9108790.397644043
45,12006.492857142857,19925,9108790.397644043
46,13270.207142857143,19925,9108790.397644043
47,12849.3,19925,9108790.397644043
48,11729.921428571428,19952,9108790.397644043
49,13186.392857142857,19952,9108790.397644043
50,12511.835714285715,19952,9108790.397644043
51,12777.15,19952,9108790.397644043
52,13004.535714285714,19952,9108790.397644043
53,12361.664285714285,19952,9108790.397644043
54,12143.207142857143,19952,9108790.397644043
55,11233.264285714286,19952,9108790.397644043
56,13551.442857142858,19952,9108790.397644043
57,12398.8,19952,9108790.397644043
58,12277.3,19952,9108790.397644043
59,13495.05,19952,9108790.397644043
60,13968.057142857142,19952,9108790.397644043
61,13331.85,19952,9108790.397644043
62,11659.464285714286,19952,9108790.397644043
63,10006.7,19952,9108790.397644043
64,12203.414285714285,19952,9108790.397644043
65,13384.992857142857,19952,9108790.397644043
66,11322.564285714287,19952,9108790.397644043
67,11638.657142857142,19952,9108790.397644043
68,13005.614285714286,19952,9108790.397644043
69,11858.807142857142,19952,9108790.397644043
70,12576.042857142857,19952,9108790.397644043
71,11950.607142857143,19952,9108790.397644043
72,11606.535714285714,19952,9108790.397644043
73,12306.92857142857,19952,9108790.397644043
74,12462.67857142857,19952,9108790.397644043
75,11123.578571428572,19952,9108790.397644043
76,12176.085714285715,19952,9108790.397644043
77,11852.9,19952,9108790.397644043
78,13243.778571428571,19952,9108790.397644043
79,11269.485714285714,19952,9108790.397644043
80,11949.192857142858,19952,9108790.397644043
81,10328.278571428571,19952,9108790.397644043
82,12513.807142857142,19952,9108790.397644043
83,11258.978571428572,19952,9108790.397644043
84,11279.721428571429,20021,9108790.397644043
85,12389.621428571429,20021,9108790.397644043
86,11485.342857142858,20021,9108790.397644043
87,12608.464285714286,20021,9108790.397644043
88,11912.921428571428,20021,9108790.397644043
89,12235.721428571429,20021,9108790.397644043
90,13277.057142857142,20021,9108790.397644043
91,13164.792857142857,20021,9108790.397644043
92,10954.214285714286,20021,9108790.397644043
93,10888.257142857143,20021,9108790.397644043
94,13227.485714285714,20021,9108790.397644043
95,12731.128571428571,20021,9108790.397644043
96,11306.392857142857,20021,9108790.397644043
97,10694.435714285713,20021,9108790.397644043
98,11729.778571428571,20021,9108790.397644043
99,13472.714285714286,20021,9108790.397644043
100,14193.542857142857,20021,9108790.397644043
101,12058.82142857143,20021,9108790.397644043
102,12735.228571428572,20021,9108790.397644043
103,13444.1,20021,9108790.397644043
104,13608.642857142857,20021,9108790.397644043
105,12023.835714285715,20021,9108790.397644043
106,11110.942857142858,20021,9108790.397644043
107,11907.185714285713,20021,9108790.397644043
108,10268.264285714286,20021,9108790.397644043
109,10256.435714285713,20021,9108790.397644043
110,12373.871428571429,20021,9108790.397644043
111,12484.971428571429,20021,9108790.397644043
112,11786.785714285714,20021,9108790.397644043
113,10989.285714285714,20021,9108790.397644043
114,12953.207142857143,20021,9108790.397644043
115,13138.985714285714,20021,9108790.397644043
116,11565.742857142857,20021,9108790.397644043
117,12316.364285714286,20021,9108790.397644043
118,13287.807142857142,20021,9108790.397644043
119,13445.07142857143,20021,9108790.397644043
120,12344.15,20021,9108790.397644043
121,13400.064285714287,20021,9108790.397644043
122,12442.128571428571,20021,9108790.397644043
123,12673.064285714287,20021,9108790.397644043
124,14204.185714285713,20021,9108790.397644043
125,11534.007142857143,20021,9108790.397644043
126,12854.914285714285,20021,9108790.397644043
127,14340.628571428571,20021,9108790.397644043
128,13011.714285714286,20021,9108790.397644043
129,11322.985714285714,20021,9108790.397644043
130,14338.414285714285,20021,9108790.397644043
131,12129.564285714287,20021,9108790.397644043
132,12674.535714285714,20021,9108790.397644043
133,12882.82142857143,20021,9108790.397644043
134,13058.985714285714,20021,9108790.397644043
135,12820.585714285715,20021,9108790.397644043
136,12264.885714285714,20021,9108790.397644043
137,12017.435714285713,20021,9108790.397644043
138,12326.17857142857,20021,9108790.397644043
139,11451.742857142857,20021,9108790.397644043
140,12639.0,20021,9108790.397644043
141,12534.57142857143,20021,9108790.397644043
142,12303.42857142857,20021,9108790.397644043
143,11462.82142857143,20021,9108790.397644043
144,13493.378571428571,20021,9108790.397644043
145,12761.221428571429,20021,9108790.397644043
146,14185.907142857142,20021,9108790.397644043
147,12638.35,20021,9108790.397644043
148,12917.728571428572,20021,9108790.397644043
149,14032.528571428571,20021,9108790.397644043
150,14016.142857142857,20021,9108790.397644043
151,13080.807142857142,20021,9108790.397644043
152,12652.657142857142,20021,9108790.397644043
153,12084.142857142857,20021,9108790.397644043
154,13847.542857142857,20021,9108790.397644043
155,13721.935714285713,20021,9108790.397644043
156,11934.335714285715,20021,9108790.397644043
157,11687.164285714285,20021,9108790.397644043
158,14579.128571428571,20021,9108790.397644043
159,14102.092857142858,20021,9108790.397644043
160,12454.6,20021,9108790.397644043
161,13776.078571428572,20021,9108790.397644043
162,13242.6,20021,9108790.397644043
163,13121.471428571429,20021,9108790.397644043
164,14160.892857142857,20021,9108790.397644043
165,12549.207142857143,20021,9108790.397644043
166,11382.157142857142,20021,9108790.397644043
167,10007.871428571429,20021,9108790.397644043
168,13051.871428571429,20021,9108790.397644043
169,13244.364285714286,20021,9108790.397644043
170,13943.028571428571,20021,9108790.397644043
171,13544.271428571428,20021,9108790.397644043
172,12333.692857142858,20021,9108790.397644043
173,12870.464285714286,20021,9108790.397644043
174,12657.371428571429,20021,9108790.397644043
175,12927.135714285714,20021,9108790.397644043
176,12248.764285714286,20021,9108790.397644043
177,12996.442857142858,20021,9108790.397644043
178,13281.714285714286,20021,9108790.397644043
179,13757.242857142857,20021,9108790.397644043
180,12409.764285714286,20021,9108790.397644043
181,11939.057142857142,20021,9108790.397644043
182,11933.414285714285,20021,9108790.397644043
183,12354.507142857143,20021,9108790.397644043
184,12732.742857142857,20021,9108790.397644043
185,13198.164285714285,20021,9108790.397644043
186,12640.242857142857,20021,9108790.397644043
187,13326.45,20021,9108790.397644043
188,11434.685714285713,20021,9108790.397644043
189,12307.235714285714,20021,9108790.397644043
190,12476.342857142858,20021,9108790.397644043
191,11981.635714285714,20021,9108790.397644043
192,13833.171428571428,20021,9108790.397644043
193,14422.007142857143,20021,9108790.397644043
194,13179.371428571429,20021,9108790.397644043
195,13109.871428571429,20021,9108790.397644043
196,11925.9,20021,9108790.397644043
197,12945.378571428571,20021,9108790.397644043
198,13722.914285714285,20021,9108790.397644043
199,12269.514285714286,20021,9108790.397644043
200,13377.628571428571,20021,9108790.397644043
201,12640.935714285713,20021,9108790.397644043
202,11727.185714285713,20021,9108790.397644043
203,13179.378571428571,20021,9108790.397644043
204,13038.842857142858,20021,9108790.397644043
205,13825.957142857143,20021,9108790.397644043
206,12789.478571428572,20021,9108790.397644043
207,11323.65,20021,9108790.397644043
208,11729.092857142858,20021,9108790.397644043
209,13029.6,20021,9108790.397644043
210,12966.921428571428,20021,9108790.397644043
211,13363.757142857143,20021,9108790.397644043
212,13746.092857142858,20021,9108790.397644043
213,12985.864285714286,20021,9108790.397644043
214,12095.635714285714,20021,9108790.397644043
215,13716.485714285714,20021,9108790.397644043
216,13489.57142857143,20021,9108790.397644043
217,13149.785714285714,20021,9108790.397644043
218,12330.164285714285,20021,9108790.397644043
