Generation,Fitness Avg,Fitness Best,Execution Time
1,15164.200833333332,19076,4216931.867599487
2,10400.716333333332,19037,4216931.867599487
3,10690.292166666666,19037,4216931.867599487
4,11120.541333333333,19103,4216931.867599487
5,11509.492166666669,19300,4216931.867599487
6,12117.508666666667,19365,4216931.867599487
7,12450.203666666672,19301,4216931.867599487
8,13085.36783333333,19458,4216931.867599487
9,13286.952666666668,19510,4216931.867599487
10,13592.849333333328,19510,4216931.867599487
11,13888.626333333335,19510,4216931.867599487
12,14141.74683333333,19510,4216931.867599487
13,14467.056833333329,19510,4216931.867599487
14,14722.397000000006,19510,4216931.867599487
15,14847.28033333334,19510,4216931.867599487
16,15074.399833333327,19510,4216931.867599487
17,15264.486499999997,19510,4216931.867599487
18,15286.536500000002,19510,4216931.867599487
19,15416.050333333333,19523,4216931.867599487
20,15599.903499999997,19510,4216931.867599487
21,15763.178333333328,19538,4216931.867599487
22,15719.0225,19538,4216931.867599487
23,15805.136166666665,19538,4216931.867599487
24,15802.697666666672,19538,4216931.867599487
25,15841.353666666668,19538,4216931.867599487
26,15890.530666666666,19538,4216931.867599487
27,15960.259666666661,19538,4216931.867599487
28,15962.734166666667,19538,4216931.867599487
29,15829.593499999995,19538,4216931.867599487
30,16072.486999999996,19538,4216931.867599487
31,16080.838333333333,19538,4216931.867599487
32,16118.011166666676,19538,4216931.867599487
33,16186.441166666667,19538,4216931.867599487
34,16065.016666666668,19538,4216931.867599487
35,16096.941166666671,19538,4216931.867599487
36,16182.433333333332,19538,4216931.867599487
37,16135.108333333337,19538,4216931.867599487
38,16091.455,19538,4216931.867599487
39,16232.880333333336,19538,4216931.867599487
40,16140.902333333332,19538,4216931.867599487
41,16185.870499999997,19538,4216931.867599487
42,16266.204833333331,19538,4216931.867599487
43,16137.402000000002,19538,4216931.867599487
44,16233.709500000003,19538,4216931.867599487
45,16012.670333333337,19538,4216931.867599487
46,16222.93949999999,19538,4216931.867599487
47,16044.662,19538,4216931.867599487
48,16114.417833333335,19538,4216931.867599487
49,16070.081000000006,19538,4216931.867599487
50,16147.60283333333,19538,4216931.867599487
51,16098.166333333334,19538,4216931.867599487
52,16184.447499999998,19568,4216931.867599487
53,16148.020499999995,19568,4216931.867599487
54,16196.743833333334,19568,4216931.867599487
55,16113.1935,19568,4216931.867599487
56,15963.683666666668,19568,4216931.867599487
57,15916.575,19568,4216931.867599487
58,16234.703833333338,19568,4216931.867599487
59,16154.718833333342,19568,4216931.867599487
60,16233.663166666667,19568,4216931.867599487
61,16087.96216666666,19568,4216931.867599487
62,16228.656333333329,19568,4216931.867599487
63,16048.241166666667,19568,4216931.867599487
64,16057.980166666668,19568,4216931.867599487
65,16144.715499999998,19568,4216931.867599487
66,16118.377499999995,19568,4216931.867599487
67,16294.587499999998,19568,4216931.867599487
68,16180.237166666668,19568,4216931.867599487
69,16229.772333333329,19568,4216931.867599487
70,16198.236833333336,19568,4216931.867599487
71,16170.386500000004,19568,4216931.867599487
72,16136.091666666669,19568,4216931.867599487
73,16190.585666666659,19568,4216931.867599487
74,16095.543,19568,4216931.867599487
75,16183.587666666666,19568,4216931.867599487
76,15985.546500000002,19568,4216931.867599487
77,16008.417500000005,19568,4216931.867599487
