Generation,Fitness Avg,Fitness Best,Execution Time
1,15154.030142857138,19315,11795558.8388443
2,10565.608928571433,19914,11795558.8388443
3,10967.58792857143,19914,11795558.8388443
4,11657.079142857143,19914,11795558.8388443
5,12254.104214285717,19914,11795558.8388443
6,13135.394357142854,19914,11795558.8388443
7,13773.731785714284,19942,11795558.8388443
8,14241.135642857142,19942,11795558.8388443
9,14644.044142857141,19942,11795558.8388443
10,14837.758785714284,19942,11795558.8388443
11,15232.311642857136,19942,11795558.8388443
12,15559.672499999997,19942,11795558.8388443
13,15662.677928571426,19942,11795558.8388443
14,15982.150857142857,19942,11795558.8388443
15,15967.085857142853,19942,11795558.8388443
16,16008.064928571433,19942,11795558.8388443
17,16109.744499999997,19942,11795558.8388443
18,16260.364857142866,19942,11795558.8388443
19,16397.80407142857,19942,11795558.8388443
20,16465.045071428565,19942,11795558.8388443
21,16413.97957142857,19942,11795558.8388443
22,16524.105571428565,19942,11795558.8388443
23,16550.31435714285,19942,11795558.8388443
24,16473.240642857138,19996,11795558.8388443
25,16627.12907142857,19996,11795558.8388443
26,16693.438285714285,19996,11795558.8388443
27,16490.647142857142,19996,11795558.8388443
28,16692.668785714286,19996,11795558.8388443
29,16571.35921428572,19996,11795558.8388443
30,16605.498357142857,19996,11795558.8388443
31,16540.925785714284,19996,11795558.8388443
32,16530.896642857144,19996,11795558.8388443
33,16614.802714285714,19996,11795558.8388443
34,16527.761142857136,19996,11795558.8388443
35,16581.580142857147,19996,11795558.8388443
36,16664.738642857148,19996,11795558.8388443
37,16647.8365,19996,11795558.8388443
38,16541.990214285717,19996,11795558.8388443
39,16618.233142857145,19996,11795558.8388443
40,16530.66428571429,19996,11795558.8388443
41,16472.26521428571,19996,11795558.8388443
42,16682.84428571428,19996,11795558.8388443
43,16511.19535714286,19996,11795558.8388443
44,16561.950857142856,19996,11795558.8388443
45,16542.807999999997,19996,11795558.8388443
46,16497.908285714286,19996,11795558.8388443
47,16545.286428571435,19996,11795558.8388443
48,16606.84164285714,19996,11795558.8388443
49,16516.509357142855,19996,11795558.8388443
50,16575.205857142857,19996,11795558.8388443
51,16544.089571428573,19996,11795558.8388443
52,16592.459714285716,19996,11795558.8388443
53,16585.50235714286,19996,11795558.8388443
54,16647.283,19996,11795558.8388443
55,16580.996285714282,19996,11795558.8388443
56,16404.84664285714,19996,11795558.8388443
57,16662.601928571425,19996,11795558.8388443
58,16695.39871428571,19996,11795558.8388443
59,16560.947857142863,19996,11795558.8388443
60,16570.72678571429,19996,11795558.8388443
61,16627.79292857142,19996,11795558.8388443
62,16522.930642857144,19996,11795558.8388443
63,16623.763285714285,19996,11795558.8388443
64,16559.81114285714,19996,11795558.8388443
65,16510.258571428574,19996,11795558.8388443
66,16463.390428571427,19996,11795558.8388443
67,16495.148,19996,11795558.8388443
68,16527.839857142862,19996,11795558.8388443
69,16575.373000000007,19996,11795558.8388443
70,16513.526714285705,19996,11795558.8388443
71,16569.103357142863,19996,11795558.8388443
72,16556.24892857143,19996,11795558.8388443
73,16504.477357142852,19996,11795558.8388443
74,16628.578928571435,19996,11795558.8388443
75,16632.568142857144,19996,11795558.8388443
76,16585.303714285714,19996,11795558.8388443
77,16581.808428571432,19996,11795558.8388443
78,16642.01628571429,19996,11795558.8388443
79,16468.301071428574,19996,11795558.8388443
80,16490.96521428572,19996,11795558.8388443
81,16490.521500000003,19996,11795558.8388443
82,16517.529714285705,19996,11795558.8388443
83,16646.299214285715,19996,11795558.8388443
84,16560.500142857138,19996,11795558.8388443
85,16566.209857142854,19996,11795558.8388443
86,16662.711571428565,19996,11795558.8388443
87,16473.196714285714,19996,11795558.8388443
88,16575.96385714286,19996,11795558.8388443
89,16640.388785714284,19996,11795558.8388443
90,16685.02614285714,19996,11795558.8388443
91,16510.172785714287,19996,11795558.8388443
92,16515.31085714286,19996,11795558.8388443
93,16626.31557142857,19996,11795558.8388443
94,16554.61364285714,19996,11795558.8388443
95,16566.743785714294,19996,11795558.8388443
96,16543.786285714283,19996,11795558.8388443
97,16585.138714285713,19996,11795558.8388443
98,16610.771357142854,19996,11795558.8388443
99,16627.342857142852,19996,11795558.8388443
100,16576.09485714286,19996,11795558.8388443
101,16495.748142857145,19996,11795558.8388443
102,16529.183571428573,19996,11795558.8388443
103,16574.20271428572,19996,11795558.8388443
104,16547.173071428573,19996,11795558.8388443
105,16516.613214285713,19996,11795558.8388443
106,16610.836571428572,19996,11795558.8388443
107,16559.069499999998,19996,11795558.8388443
108,16601.69907142857,19996,11795558.8388443
109,16533.403785714283,19996,11795558.8388443
110,16448.599857142857,19996,11795558.8388443
111,16631.48257142857,19996,11795558.8388443
112,16604.177428571435,19996,11795558.8388443
113,16586.321214285716,19996,11795558.8388443
114,16508.54607142857,19996,11795558.8388443
115,16445.453214285717,19996,11795558.8388443
116,16502.27478571429,19996,11795558.8388443
117,16498.52678571429,19996,11795558.8388443
118,16659.22778571429,19996,11795558.8388443
119,16561.315357142856,19996,11795558.8388443
120,16605.285571428576,19996,11795558.8388443
121,16606.07357142857,19996,11795558.8388443
122,16559.353500000005,19996,11795558.8388443
123,16644.119714285727,19996,11795558.8388443
124,16574.83514285714,19996,11795558.8388443
125,16541.369000000002,19996,11795558.8388443
126,16512.79292857143,19996,11795558.8388443
127,16585.58914285714,19996,11795558.8388443
128,16653.485071428568,19996,11795558.8388443
129,16620.494071428573,19996,11795558.8388443
130,16537.759714285712,19996,11795558.8388443
131,16500.32014285713,19996,11795558.8388443
132,16679.22864285714,19996,11795558.8388443
133,16603.363357142855,19996,11795558.8388443
134,16571.75628571428,19996,11795558.8388443
135,16616.556857142852,19996,11795558.8388443
136,16591.1585,19996,11795558.8388443
137,16610.48564285714,19996,11795558.8388443
138,16533.554571428576,19996,11795558.8388443
139,16614.89985714286,19996,11795558.8388443
140,16523.615499999993,19996,11795558.8388443
141,16555.820785714284,19996,11795558.8388443
142,16633.68071428571,19996,11795558.8388443
143,16601.014357142853,19996,11795558.8388443
144,16624.529928571428,19996,11795558.8388443
145,16653.227428571423,19996,11795558.8388443
146,16612.102499999994,19996,11795558.8388443
147,16588.886785714276,19996,11795558.8388443
148,16546.164428571425,19996,11795558.8388443
149,16572.918928571424,19996,11795558.8388443
150,16626.239857142857,19996,11795558.8388443
151,16536.78635714285,19996,11795558.8388443
152,16574.92414285714,19996,11795558.8388443
153,16647.86785714286,19996,11795558.8388443
154,16529.071928571422,19996,11795558.8388443
155,16533.775071428576,19996,11795558.8388443
156,16568.15485714287,19996,11795558.8388443
157,16541.48157142857,19996,11795558.8388443
158,16551.67921428571,19996,11795558.8388443
159,16543.636142857136,19996,11795558.8388443
160,16492.09185714286,19996,11795558.8388443
161,16642.86678571428,19996,11795558.8388443
162,16529.877214285712,19996,11795558.8388443
163,16701.499357142857,19996,11795558.8388443
164,16545.99264285714,19996,11795558.8388443
165,16549.680357142854,19996,11795558.8388443
166,16651.029000000002,19996,11795558.8388443
167,16614.90792857144,19996,11795558.8388443
168,16634.515642857146,19996,11795558.8388443
169,16649.220571428574,19996,11795558.8388443
170,16560.247857142855,19996,11795558.8388443
171,16608.601214285714,19996,11795558.8388443
172,16595.411571428573,19996,11795558.8388443
173,16606.50364285714,19996,11795558.8388443
174,16579.078642857156,19996,11795558.8388443
175,16574.046785714287,19996,11795558.8388443
176,16633.240857142853,19996,11795558.8388443
177,16556.58285714286,19996,11795558.8388443
178,16586.558142857146,19996,11795558.8388443
179,16660.8375,19996,11795558.8388443
180,16642.99621428571,19996,11795558.8388443
181,16543.09821428572,19996,11795558.8388443
182,16526.500642857143,19996,11795558.8388443
183,16543.547285714285,19996,11795558.8388443
184,16594.862785714282,19996,11795558.8388443
185,16560.07107142857,19996,11795558.8388443
186,16586.219999999998,19996,11795558.8388443
187,16632.868857142854,19996,11795558.8388443
188,16634.981071428574,19996,11795558.8388443
189,16709.676285714282,19996,11795558.8388443
190,16571.844928571427,19996,11795558.8388443
191,16536.939214285718,19996,11795558.8388443
192,16573.381500000003,19996,11795558.8388443
193,16625.10528571429,19996,11795558.8388443
194,16448.74192857143,19996,11795558.8388443
195,16488.891928571436,19996,11795558.8388443
196,16610.565642857142,19996,11795558.8388443
197,16432.277428571426,19996,11795558.8388443
198,16626.4225,19996,11795558.8388443
199,16597.478571428575,19996,11795558.8388443
200,16580.426499999998,19996,11795558.8388443
201,16443.335142857137,19996,11795558.8388443
202,16440.21821428572,19996,11795558.8388443
203,16567.48478571429,19996,11795558.8388443
204,16554.85528571428,19996,11795558.8388443
205,16571.57764285714,19996,11795558.8388443
206,16536.419071428576,19996,11795558.8388443
207,16587.21892857143,19996,11795558.8388443
208,16573.34978571429,19996,11795558.8388443
209,16619.788428571428,19996,11795558.8388443
210,16545.245714285713,19996,11795558.8388443
211,16568.27664285714,19996,11795558.8388443
212,16669.683499999996,19996,11795558.8388443
213,16516.788857142852,19996,11795558.8388443
214,16626.49571428571,19996,11795558.8388443
215,16551.06785714285,19996,11795558.8388443
216,16532.258785714286,19996,11795558.8388443
217,16613.632,19996,11795558.8388443
218,16637.64271428572,19996,11795558.8388443
219,16530.664928571427,19996,11795558.8388443
220,16657.857642857147,19996,11795558.8388443
221,16571.670500000004,19996,11795558.8388443
222,16444.124285714293,19996,11795558.8388443
223,16660.874357142857,19996,11795558.8388443
224,16581.082000000006,19996,11795558.8388443
225,16616.840928571426,19996,11795558.8388443
226,16647.85928571429,19996,11795558.8388443
227,16556.504428571436,19996,11795558.8388443
228,16533.723071428576,19996,11795558.8388443
229,16593.88728571429,19996,11795558.8388443
230,16607.3807857143,19996,11795558.8388443
231,16539.54935714285,19996,11795558.8388443
232,16515.28671428571,19996,11795558.8388443
233,16496.273,19996,11795558.8388443
234,16567.291214285717,19996,11795558.8388443
235,16672.782499999994,19996,11795558.8388443
236,16537.85449999999,19996,11795558.8388443
237,16573.39557142857,19996,11795558.8388443
238,16575.635,19996,11795558.8388443
239,16616.654785714287,19996,11795558.8388443
240,16557.159285714293,19996,11795558.8388443
241,16634.63007142857,19996,11795558.8388443
242,16621.546000000002,19996,11795558.8388443
243,16601.142928571433,19996,11795558.8388443
244,16565.86142857143,19996,11795558.8388443
245,16572.983500000002,19996,11795558.8388443
246,16587.946357142853,19996,11795558.8388443
247,16453.76407142857,19996,11795558.8388443
248,16633.9585,19996,11795558.8388443
249,16649.87014285714,19996,11795558.8388443
250,16585.23892857143,19996,11795558.8388443
251,16602.507142857146,19996,11795558.8388443
252,16451.96121428572,19996,11795558.8388443
253,16585.511428571423,19996,11795558.8388443
254,16618.048714285713,19996,11795558.8388443
255,16677.59250000001,19996,11795558.8388443
256,16585.892285714275,19996,11795558.8388443
257,16677.291571428577,19996,11795558.8388443
258,16582.888142857144,19996,11795558.8388443
259,16551.599928571428,19996,11795558.8388443
260,16650.792142857146,19996,11795558.8388443
261,16635.866428571433,19996,11795558.8388443
262,16574.612642857148,19996,11795558.8388443
263,16624.08664285714,19996,11795558.8388443
264,16550.088214285715,19996,11795558.8388443
265,16505.392999999996,19996,11795558.8388443
266,16623.711714285717,19996,11795558.8388443
267,16572.58835714286,19996,11795558.8388443
268,16598.29121428571,19996,11795558.8388443
269,16565.375,19996,11795558.8388443
270,16594.180857142863,19996,11795558.8388443
271,16440.534071428574,19996,11795558.8388443
272,16520.9205,19996,11795558.8388443
273,16460.74178571428,19996,11795558.8388443
274,16632.746642857135,19996,11795558.8388443
275,16612.56835714286,19996,11795558.8388443
276,16588.178999999993,19996,11795558.8388443
277,16574.782714285717,19996,11795558.8388443
278,16626.79428571428,19996,11795558.8388443
279,16487.37628571429,19996,11795558.8388443
280,16595.099071428573,19996,11795558.8388443
281,16429.24642857142,19996,11795558.8388443
282,16620.453,19996,11795558.8388443
283,16577.27685714285,19996,11795558.8388443
284,16678.871428571423,19996,11795558.8388443
285,16506.50257142857,19996,11795558.8388443
286,16657.395214285712,19996,11795558.8388443
287,16468.344071428568,19996,11795558.8388443
288,16669.577928571423,19996,11795558.8388443
289,16623.872714285713,19996,11795558.8388443
290,16508.575928571423,19996,11795558.8388443
291,16628.74414285714,19996,11795558.8388443
292,16553.089571428573,19996,11795558.8388443
293,16606.506999999998,19996,11795558.8388443
294,16524.588285714286,19996,11795558.8388443
295,16580.489928571424,19996,11795558.8388443
296,16492.343857142856,19996,11795558.8388443
297,16531.68785714286,19996,11795558.8388443
298,16602.012357142856,19996,11795558.8388443
299,16573.697571428565,19996,11795558.8388443
300,16567.305285714283,19996,11795558.8388443
301,16477.14585714286,19996,11795558.8388443
302,16585.505357142858,19996,11795558.8388443
303,16489.642714285717,19996,11795558.8388443
304,16610.33028571428,19996,11795558.8388443
305,16491.793285714284,19996,11795558.8388443
306,16593.765357142864,19996,11795558.8388443
307,16513.65642857143,19996,11795558.8388443
308,16567.199571428577,19996,11795558.8388443
309,16559.988928571438,19996,11795558.8388443
310,16566.05914285714,19996,11795558.8388443
311,16529.690357142856,19996,11795558.8388443
312,16577.936999999998,19996,11795558.8388443
313,16563.063928571428,19996,11795558.8388443
314,16570.35657142858,19996,11795558.8388443
315,16551.569571428572,19996,11795558.8388443
316,16614.41657142857,19996,11795558.8388443
317,16493.855428571427,19996,11795558.8388443
318,16560.165714285708,19996,11795558.8388443
319,16500.354642857135,19996,11795558.8388443
320,16502.561928571424,19996,11795558.8388443
321,16538.78028571428,19996,11795558.8388443
322,16638.68942857143,19996,11795558.8388443
323,16513.619571428575,19996,11795558.8388443
324,16449.316142857144,19996,11795558.8388443
325,16540.732785714285,19996,11795558.8388443
326,16590.61785714286,19996,11795558.8388443
327,16573.459642857142,19996,11795558.8388443
328,16554.557642857133,19996,11795558.8388443
329,16590.729285714286,19996,11795558.8388443
330,16528.22714285714,19996,11795558.8388443
331,16617.702142857142,19996,11795558.8388443
332,16561.216357142854,19996,11795558.8388443
333,16551.628642857137,19996,11795558.8388443
334,16554.323500000006,19996,11795558.8388443
335,16587.71442857143,19996,11795558.8388443
336,16591.323500000002,19996,11795558.8388443
337,16602.583071428573,19996,11795558.8388443
338,16579.327857142853,19996,11795558.8388443
339,16638.908785714288,19996,11795558.8388443
340,16502.241428571433,19996,11795558.8388443
341,16599.853928571436,19996,11795558.8388443
342,16530.516357142853,19996,11795558.8388443
343,16549.02028571429,19996,11795558.8388443
344,16475.373000000007,19996,11795558.8388443
345,16608.504642857148,19996,11795558.8388443
346,16531.380214285717,19996,11795558.8388443
347,16618.820857142862,19996,11795558.8388443
348,16646.261428571433,19996,11795558.8388443
349,16540.25271428571,19996,11795558.8388443
350,16554.284714285714,19996,11795558.8388443
351,16621.17171428571,19996,11795558.8388443
352,16562.336785714288,19996,11795558.8388443
353,16659.06935714286,19996,11795558.8388443
354,16540.284357142857,19996,11795558.8388443
355,16551.818857142855,19996,11795558.8388443
356,16513.61942857143,19996,11795558.8388443
357,16589.8205,19996,11795558.8388443
358,16600.245714285717,19996,11795558.8388443
359,16625.22971428572,19996,11795558.8388443
360,16586.677928571436,19996,11795558.8388443
361,16493.89428571428,19996,11795558.8388443
362,16556.704071428572,19996,11795558.8388443
363,16551.25257142858,19996,11795558.8388443
364,16581.297214285718,19996,11795558.8388443
365,16509.58142857144,19996,11795558.8388443
366,16567.749857142862,19996,11795558.8388443
367,16429.466214285712,19996,11795558.8388443
368,16566.314928571413,19996,11795558.8388443
369,16574.076357142858,19996,11795558.8388443
370,16490.711285714286,19996,11795558.8388443
371,16468.94428571429,19996,11795558.8388443
372,16569.084285714292,19996,11795558.8388443
373,16587.67257142857,19996,11795558.8388443
374,16540.893928571426,19996,11795558.8388443
375,16564.648428571432,19996,11795558.8388443
376,16526.605785714277,19996,11795558.8388443
377,16594.430357142857,19996,11795558.8388443
378,16513.638785714284,19996,11795558.8388443
379,16602.089857142848,19996,11795558.8388443
380,16493.695928571437,19996,11795558.8388443
381,16513.189928571424,19996,11795558.8388443
382,16505.98557142857,19996,11795558.8388443
383,16624.536285714286,19996,11795558.8388443
384,16596.807857142852,19996,11795558.8388443
385,16553.41007142857,19996,11795558.8388443
386,16649.121214285715,19996,11795558.8388443
387,16594.501428571424,19996,11795558.8388443
388,16650.397285714287,19996,11795558.8388443
389,16382.044357142853,19996,11795558.8388443
390,16516.145714285714,19996,11795558.8388443
391,16613.503785714285,19996,11795558.8388443
392,16552.12764285714,19996,11795558.8388443
393,16561.032785714277,19996,11795558.8388443
394,16582.5335,19996,11795558.8388443
395,16511.441785714287,19996,11795558.8388443
396,16541.03328571429,19996,11795558.8388443
397,16606.37728571429,19996,11795558.8388443
398,16531.066500000004,19996,11795558.8388443
399,16593.555357142854,19996,11795558.8388443
400,16565.06321428571,19996,11795558.8388443
401,16599.141499999998,19996,11795558.8388443
402,16585.393142857145,19996,11795558.8388443
403,16624.72314285714,19996,11795558.8388443
404,16578.647214285713,19996,11795558.8388443
405,16553.409857142855,19996,11795558.8388443
406,16624.717714285714,19996,11795558.8388443
407,16586.45121428572,19996,11795558.8388443
408,16606.89835714286,19996,11795558.8388443
409,16555.978785714287,19996,11795558.8388443
410,16560.386714285716,19996,11795558.8388443
411,16555.703999999998,19996,11795558.8388443
412,16624.162857142852,19996,11795558.8388443
413,16582.91092857143,19996,11795558.8388443
414,16597.22735714286,19996,11795558.8388443
415,16580.369428571423,19996,11795558.8388443
416,16608.936571428567,19996,11795558.8388443
417,16538.479714285713,19996,11795558.8388443
418,16546.621214285715,19996,11795558.8388443
419,16551.99628571429,19996,11795558.8388443
420,16590.60028571429,19996,11795558.8388443
421,16682.509000000005,19996,11795558.8388443
422,16611.204857142853,19996,11795558.8388443
423,16562.861642857144,19996,11795558.8388443
424,16529.538214285712,19996,11795558.8388443
425,16648.03942857143,19996,11795558.8388443
426,16446.257214285717,19996,11795558.8388443
427,16601.809857142853,19996,11795558.8388443
428,16602.948928571426,19996,11795558.8388443
429,16646.553928571426,19996,11795558.8388443
430,16551.197285714286,19996,11795558.8388443
431,16534.783428571423,19996,11795558.8388443
432,16587.45557142857,19996,11795558.8388443
433,16531.507357142855,19996,11795558.8388443
434,16536.86635714286,19996,11795558.8388443
435,16475.23214285713,19996,11795558.8388443
436,16582.800714285728,19996,11795558.8388443
437,16449.34242857143,19996,11795558.8388443
438,16645.188785714286,19996,11795558.8388443
439,16588.04700000001,19996,11795558.8388443
440,16518.655071428584,19996,11795558.8388443
441,16438.11342857143,19996,11795558.8388443
442,16508.456285714292,19996,11795558.8388443
443,16576.397785714285,19996,11795558.8388443
444,16474.409428571427,19996,11795558.8388443
445,16483.843857142856,19996,11795558.8388443
446,16546.24328571428,19996,11795558.8388443
447,16681.86271428572,19996,11795558.8388443
448,16515.156357142856,19996,11795558.8388443
449,16614.343428571425,19996,11795558.8388443
450,16550.911428571435,19996,11795558.8388443
451,16583.97728571428,19996,11795558.8388443
452,16562.12378571429,19996,11795558.8388443
453,16624.14007142857,19996,11795558.8388443
454,16562.580571428563,19996,11795558.8388443
455,16530.603071428573,19996,11795558.8388443
456,16514.03221428571,19996,11795558.8388443
457,16572.74942857144,19996,11795558.8388443
458,16522.47557142858,19996,11795558.8388443
459,16573.542285714288,19996,11795558.8388443
460,16567.189214285707,19996,11795558.8388443
461,16547.45628571429,19996,11795558.8388443
462,16590.211071428566,19996,11795558.8388443
463,16570.094071428568,19996,11795558.8388443
464,16498.680285714287,19996,11795558.8388443
