Generation,Fitness Avg,Fitness Best,Execution Time
1,452.6413613613616,637,2954.8871517181396
2,408.8271871871868,637,2954.8871517181396
3,480.0574174174174,637,2954.8871517181396
4,544.7913513513515,637,2954.8871517181396
5,582.9079079079079,637,2954.8871517181396
6,603.1442242242243,637,2954.8871517181396
7,609.6290290290292,637,2954.8871517181396
8,614.2353953953955,637,2954.8871517181396
9,618.0454854854854,637,2954.8871517181396
10,619.4030830830831,637,2954.8871517181396
11,619.9085485485485,637,2954.8871517181396
12,620.0189789789789,637,2954.8871517181396
