Generation,Fitness Avg,Fitness Best,Execution Time
1,453.38226226226277,637,2933.87770652771
2,413.7438638638641,637,2933.87770652771
3,479.02850850850893,637,2933.87770652771
4,544.2034834834836,637,2933.87770652771
5,579.5063463463462,637,2933.87770652771
6,600.6412812812815,637,2933.87770652771
7,608.1893893893896,637,2933.87770652771
8,612.4691091091092,637,2933.87770652771
9,616.3425425425427,637,2933.87770652771
10,618.3511511511512,637,2933.87770652771
11,618.7123123123124,637,2933.87770652771
