Generation,Fitness Avg,Fitness Best,Execution Time
1,15140.219250000006,19122,5534387.70532608
2,10508.878749999998,19448,5534387.70532608
3,10754.744374999998,19448,5534387.70532608
4,11102.6425,19448,5534387.70532608
5,11570.633125,19370,5534387.70532608
6,11969.755,19370,5534387.70532608
7,12331.321125,19370,5534387.70532608
8,12839.672125000001,19370,5534387.70532608
9,13169.6665,19663,5534387.70532608
10,13633.379125,19675,5534387.70532608
11,13924.911250000003,19675,5534387.70532608
12,14044.03699999999,19590,5534387.70532608
13,14152.371624999998,19673,5534387.70532608
14,14392.315999999999,19673,5534387.70532608
15,14585.860375000007,19673,5534387.70532608
16,14873.934500000005,19694,5534387.70532608
17,15025.644874999996,19694,5534387.70532608
18,15371.949499999999,19677,5534387.70532608
19,15470.2925,19677,5534387.70532608
20,15570.85349999999,19694,5534387.70532608
21,15590.233500000004,19730,5534387.70532608
22,15718.346375,19880,5534387.70532608
23,15727.196750000005,19880,5534387.70532608
24,15909.191625000005,19880,5534387.70532608
25,15979.2405,19880,5534387.70532608
26,15942.70800000001,19880,5534387.70532608
27,16057.843875000002,19880,5534387.70532608
28,16071.849875000007,19880,5534387.70532608
29,16093.179374999989,19880,5534387.70532608
30,16208.019749999996,19880,5534387.70532608
31,16257.659500000002,19880,5534387.70532608
32,16234.855125000002,19880,5534387.70532608
33,16312.975,19880,5534387.70532608
34,16151.783375000006,19880,5534387.70532608
35,16180.782499999996,19880,5534387.70532608
36,16318.223124999997,19880,5534387.70532608
37,16214.958749999998,19880,5534387.70532608
38,16251.98662500001,19880,5534387.70532608
39,16366.748875,19880,5534387.70532608
40,16381.455375000001,19880,5534387.70532608
41,16406.011250000003,19880,5534387.70532608
42,16306.084499999992,19880,5534387.70532608
43,16408.98425,19880,5534387.70532608
44,16298.634624999995,19880,5534387.70532608
45,16434.086625,19880,5534387.70532608
46,16436.815,19880,5534387.70532608
47,16327.195624999998,19880,5534387.70532608
48,16539.042749999997,19880,5534387.70532608
49,16322.606749999999,19880,5534387.70532608
50,16327.424749999998,19880,5534387.70532608
51,16400.909500000005,19880,5534387.70532608
52,16299.032624999998,19880,5534387.70532608
53,16336.789374999993,19880,5534387.70532608
54,16439.788125000003,19880,5534387.70532608
55,16356.592374999993,19880,5534387.70532608
56,16471.370125,19880,5534387.70532608
57,16299.832874999996,19880,5534387.70532608
58,16372.318999999996,19880,5534387.70532608
59,16453.492874999993,19880,5534387.70532608
60,16323.689499999997,19880,5534387.70532608
61,16232.170999999998,19880,5534387.70532608
62,16380.927624999995,19880,5534387.70532608
63,16263.264875000008,19880,5534387.70532608
64,16407.87212500001,19880,5534387.70532608
65,16172.021124999994,19880,5534387.70532608
66,16286.524874999997,19880,5534387.70532608
67,16300.552749999997,19880,5534387.70532608
68,16410.293874999996,19880,5534387.70532608
69,16506.6015,19880,5534387.70532608
70,16501.875375000007,19880,5534387.70532608
71,16320.385875000004,19880,5534387.70532608
72,16346.276999999996,19880,5534387.70532608
73,16427.430125,19880,5534387.70532608
74,16400.401375000005,19880,5534387.70532608
75,16356.419750000003,19880,5534387.70532608
76,16375.292499999998,19880,5534387.70532608
77,16378.869374999991,19880,5534387.70532608
78,16405.731,19880,5534387.70532608
79,16295.266000000001,19880,5534387.70532608
80,16239.190000000004,19880,5534387.70532608
81,16371.511749999998,19880,5534387.70532608
82,16472.0445,19880,5534387.70532608
83,16374.4955,19880,5534387.70532608
84,16435.489625,19880,5534387.70532608
85,16361.956749999994,19880,5534387.70532608
86,16428.646249999998,19880,5534387.70532608
87,16360.774874999997,19880,5534387.70532608
88,16330.881000000001,19880,5534387.70532608
89,16426.0125,19880,5534387.70532608
90,16539.952375,19880,5534387.70532608
91,16411.571,19880,5534387.70532608
92,16344.35775,19880,5534387.70532608
93,16296.320999999994,19880,5534387.70532608
94,16403.483124999995,19880,5534387.70532608
95,16425.05475,19880,5534387.70532608
96,16441.311125000004,19880,5534387.70532608
97,16362.939874999998,19880,5534387.70532608
98,16349.393499999996,19880,5534387.70532608
99,16420.34775,19880,5534387.70532608
100,16402.721500000007,19880,5534387.70532608
101,16382.205875000009,19880,5534387.70532608
102,16337.447749999994,19880,5534387.70532608
103,16320.248749999993,19880,5534387.70532608
104,16425.142250000004,19880,5534387.70532608
105,16309.849000000006,19880,5534387.70532608
106,16447.177125,19880,5534387.70532608
107,16361.209125000008,19880,5534387.70532608
108,16455.37725,19880,5534387.70532608
109,16252.440875000011,19880,5534387.70532608
110,16501.017625,19880,5534387.70532608
111,16384.12725,19880,5534387.70532608
112,16483.322124999995,19880,5534387.70532608
113,16448.151749999997,19880,5534387.70532608
114,16353.314750000005,19880,5534387.70532608
115,16386.289875000006,19880,5534387.70532608
116,16395.168875000003,19880,5534387.70532608
117,16325.449750000005,19880,5534387.70532608
118,16397.914,19880,5534387.70532608
119,16426.365624999995,19880,5534387.70532608
120,16444.75799999999,19880,5534387.70532608
121,16483.298125,19880,5534387.70532608
122,16420.155749999994,19880,5534387.70532608
123,16373.849250000003,19880,5534387.70532608
124,16427.811125000004,19880,5534387.70532608
125,16441.711624999993,19880,5534387.70532608
126,16237.384624999997,19880,5534387.70532608
127,16452.09762500001,19880,5534387.70532608
128,16289.993625000005,19880,5534387.70532608
129,16399.260625,19880,5534387.70532608
130,16472.394000000004,19880,5534387.70532608
131,16399.999750000006,19880,5534387.70532608
132,16302.00025,19880,5534387.70532608
133,16298.754875000006,19880,5534387.70532608
134,16299.128750000005,19880,5534387.70532608
135,16274.530250000002,19880,5534387.70532608
136,16407.026875,19880,5534387.70532608
137,16270.820749999999,19880,5534387.70532608
138,16354.9555,19880,5534387.70532608
139,16358.970125000003,19880,5534387.70532608
140,16361.956499999998,19880,5534387.70532608
141,16335.767749999994,19880,5534387.70532608
142,16331.669375000009,19880,5534387.70532608
143,16403.357875,19880,5534387.70532608
144,16346.889000000003,19880,5534387.70532608
145,16430.684124999992,19880,5534387.70532608
146,16432.930625,19880,5534387.70532608
147,16289.770375,19880,5534387.70532608
148,16493.728499999997,19880,5534387.70532608
