Generation,Fitness Avg,Fitness Best,Execution Time
1,15139.258642857147,19037,10003801.55324936
2,10430.401214285717,19034,10003801.55324936
3,10548.860928571425,19250,10003801.55324936
4,11063.649499999998,19262,10003801.55324936
5,11414.003357142861,19262,10003801.55324936
6,11626.358571428567,19537,10003801.55324936
7,11858.4995,19650,10003801.55324936
8,12279.013928571427,19650,10003801.55324936
9,12496.889857142856,19650,10003801.55324936
10,12923.734642857147,19650,10003801.55324936
11,13216.352357142852,19650,10003801.55324936
12,13527.534999999996,19650,10003801.55324936
13,13764.074357142856,19812,10003801.55324936
14,14015.990357142862,19811,10003801.55324936
15,14214.018714285714,19853,10003801.55324936
16,14409.826999999997,19853,10003801.55324936
17,14526.465071428569,19853,10003801.55324936
18,14708.731285714288,19853,10003801.55324936
19,14942.376714285718,19853,10003801.55324936
20,15016.792785714286,19853,10003801.55324936
21,15176.74042857142,19853,10003801.55324936
22,15407.936000000005,19853,10003801.55324936
23,15591.503214285716,19853,10003801.55324936
24,15652.722999999996,19902,10003801.55324936
25,15814.920357142855,19961,10003801.55324936
26,15984.210000000005,19961,10003801.55324936
27,15972.027285714285,19947,10003801.55324936
28,16077.143999999998,19947,10003801.55324936
29,16045.993214285718,19947,10003801.55324936
30,16328.199142857142,19947,10003801.55324936
31,16276.28549999999,19947,10003801.55324936
32,16343.78307142857,19947,10003801.55324936
33,16356.048214285707,19947,10003801.55324936
34,16458.88242857143,19947,10003801.55324936
35,16514.41435714286,19947,10003801.55324936
36,16416.730357142853,19947,10003801.55324936
37,16530.87728571429,19947,10003801.55324936
38,16652.25235714285,19947,10003801.55324936
39,16586.320214285704,19947,10003801.55324936
40,16669.0965,19947,10003801.55324936
41,16681.554714285714,19947,10003801.55324936
42,16534.569357142856,19947,10003801.55324936
43,16645.290500000006,19947,10003801.55324936
44,16684.21128571429,19947,10003801.55324936
45,16607.907928571425,19947,10003801.55324936
46,16664.122642857135,19947,10003801.55324936
47,16659.042500000003,19947,10003801.55324936
48,16554.525285714284,19947,10003801.55324936
49,16659.754571428577,19947,10003801.55324936
50,16721.98242857143,19947,10003801.55324936
51,16611.12935714286,20012,10003801.55324936
52,16733.145071428575,20012,10003801.55324936
53,16630.960999999996,20012,10003801.55324936
54,16637.00971428572,20012,10003801.55324936
55,16727.728857142854,20012,10003801.55324936
56,16659.291928571438,20012,10003801.55324936
57,16690.811285714284,20012,10003801.55324936
58,16628.73942857143,20012,10003801.55324936
59,16716.715214285712,20012,10003801.55324936
60,16641.649071428576,20012,10003801.55324936
61,16731.704357142866,20012,10003801.55324936
62,16573.180357142865,20012,10003801.55324936
63,16650.587285714286,20012,10003801.55324936
64,16698.728571428568,20012,10003801.55324936
65,16730.847357142862,20012,10003801.55324936
66,16752.454928571424,20012,10003801.55324936
67,16685.465142857138,20012,10003801.55324936
68,16684.663500000006,20012,10003801.55324936
69,16606.075571428573,20012,10003801.55324936
70,16726.709142857144,20012,10003801.55324936
71,16590.003500000006,20012,10003801.55324936
72,16591.02007142857,20012,10003801.55324936
73,16736.557714285715,20012,10003801.55324936
74,16635.02814285714,20012,10003801.55324936
75,16758.489857142853,20012,10003801.55324936
76,16655.140071428574,20012,10003801.55324936
77,16680.0635,20012,10003801.55324936
78,16667.089714285714,20012,10003801.55324936
79,16631.321,20012,10003801.55324936
80,16728.0502142857,20012,10003801.55324936
81,16674.975214285718,20012,10003801.55324936
82,16649.249499999994,20012,10003801.55324936
83,16685.739285714284,20012,10003801.55324936
84,16688.71471428571,20012,10003801.55324936
85,16586.73728571429,20012,10003801.55324936
86,16747.637142857147,20012,10003801.55324936
87,16708.554000000004,20012,10003801.55324936
88,16754.44085714286,20012,10003801.55324936
89,16644.925785714287,20012,10003801.55324936
90,16617.725785714287,20012,10003801.55324936
91,16702.478714285717,20012,10003801.55324936
92,16731.05414285715,20012,10003801.55324936
93,16607.64364285714,20012,10003801.55324936
94,16749.340214285712,20012,10003801.55324936
95,16646.263428571427,20012,10003801.55324936
96,16674.485500000013,20012,10003801.55324936
97,16752.92785714285,20012,10003801.55324936
98,16683.192500000005,20012,10003801.55324936
99,16771.829357142855,20012,10003801.55324936
100,16665.205714285712,20012,10003801.55324936
101,16718.227428571423,20012,10003801.55324936
102,16683.191142857144,20012,10003801.55324936
103,16629.8875,20012,10003801.55324936
104,16705.4105,20012,10003801.55324936
105,16631.780642857146,20012,10003801.55324936
106,16664.767000000003,20012,10003801.55324936
107,16669.211000000003,20012,10003801.55324936
108,16724.48942857142,20012,10003801.55324936
109,16646.950214285716,20012,10003801.55324936
110,16655.63642857143,20012,10003801.55324936
111,16636.420999999995,20012,10003801.55324936
112,16663.91057142857,20012,10003801.55324936
113,16683.312857142853,20012,10003801.55324936
114,16686.789999999997,20012,10003801.55324936
115,16633.813785714286,20012,10003801.55324936
116,16622.88285714285,20012,10003801.55324936
117,16616.10364285714,20012,10003801.55324936
118,16668.42592857142,20012,10003801.55324936
119,16695.487999999994,20012,10003801.55324936
120,16691.055142857145,20012,10003801.55324936
121,16740.107928571426,20012,10003801.55324936
122,16674.95492857143,20012,10003801.55324936
123,16624.260857142857,20012,10003801.55324936
124,16652.382142857146,20012,10003801.55324936
125,16661.933000000008,20012,10003801.55324936
126,16627.960785714287,20012,10003801.55324936
127,16614.40857142857,20012,10003801.55324936
128,16675.2295,20012,10003801.55324936
129,16732.83057142857,20012,10003801.55324936
130,16691.569857142862,20012,10003801.55324936
131,16766.25921428571,20012,10003801.55324936
132,16704.64957142857,20012,10003801.55324936
133,16709.00257142857,20012,10003801.55324936
134,16777.508999999995,20012,10003801.55324936
135,16731.217928571426,20012,10003801.55324936
136,16722.893357142853,20012,10003801.55324936
137,16734.378214285716,20012,10003801.55324936
138,16761.93814285715,20012,10003801.55324936
139,16666.248071428574,20012,10003801.55324936
140,16625.044357142855,20012,10003801.55324936
141,16652.360785714278,20012,10003801.55324936
142,16724.327357142858,20012,10003801.55324936
143,16670.771785714285,20012,10003801.55324936
144,16635.11764285714,20012,10003801.55324936
145,16616.24042857143,20012,10003801.55324936
146,16751.526857142864,20012,10003801.55324936
147,16755.4145,20012,10003801.55324936
148,16656.466857142852,20012,10003801.55324936
149,16735.900285714288,20012,10003801.55324936
150,16607.564785714283,20012,10003801.55324936
151,16603.214928571422,20012,10003801.55324936
152,16636.47171428571,20012,10003801.55324936
153,16592.140928571425,20012,10003801.55324936
154,16623.786571428573,20012,10003801.55324936
155,16774.161428571424,20012,10003801.55324936
156,16675.182714285715,20012,10003801.55324936
157,16712.70778571428,20012,10003801.55324936
158,16589.952642857144,20012,10003801.55324936
159,16648.361071428564,20012,10003801.55324936
160,16616.135714285705,20012,10003801.55324936
161,16694.975928571424,20012,10003801.55324936
162,16641.49478571429,20012,10003801.55324936
163,16664.074142857142,20012,10003801.55324936
164,16541.036642857147,20012,10003801.55324936
165,16740.340642857147,20012,10003801.55324936
166,16698.524928571424,20012,10003801.55324936
167,16644.119928571425,20012,10003801.55324936
168,16663.786,20012,10003801.55324936
169,16700.579142857147,20012,10003801.55324936
170,16699.272428571432,20012,10003801.55324936
171,16674.362928571427,20012,10003801.55324936
172,16711.14071428571,20012,10003801.55324936
173,16722.010785714294,20012,10003801.55324936
174,16683.991714285712,20012,10003801.55324936
175,16642.32592857143,20012,10003801.55324936
176,16772.86085714286,20012,10003801.55324936
177,16698.48342857144,20012,10003801.55324936
178,16682.568785714288,20012,10003801.55324936
179,16655.19678571429,20012,10003801.55324936
180,16745.512071428562,20012,10003801.55324936
181,16738.28221428572,20012,10003801.55324936
182,16688.52899999999,20012,10003801.55324936
183,16710.30507142857,20012,10003801.55324936
184,16714.577714285704,20012,10003801.55324936
185,16655.90264285715,20012,10003801.55324936
186,16629.77835714286,20012,10003801.55324936
187,16669.20200000001,20012,10003801.55324936
188,16720.315357142856,20012,10003801.55324936
189,16590.158285714286,20012,10003801.55324936
190,16610.117642857145,20012,10003801.55324936
191,16678.54435714285,20012,10003801.55324936
192,16645.225714285712,20012,10003801.55324936
193,16580.855357142853,20012,10003801.55324936
194,16650.564142857143,20012,10003801.55324936
195,16659.18292857143,20012,10003801.55324936
196,16676.565142857147,20012,10003801.55324936
197,16676.881999999994,20012,10003801.55324936
198,16696.793357142862,20012,10003801.55324936
199,16623.855928571425,20012,10003801.55324936
200,16703.15028571429,20012,10003801.55324936
201,16710.25214285714,20012,10003801.55324936
202,16701.239428571433,20012,10003801.55324936
203,16630.511428571433,20012,10003801.55324936
204,16642.422928571432,20012,10003801.55324936
205,16730.400928571427,20012,10003801.55324936
206,16662.510785714287,20012,10003801.55324936
207,16692.094999999998,20012,10003801.55324936
208,16634.480428571427,20012,10003801.55324936
209,16741.86078571428,20012,10003801.55324936
210,16649.49221428571,20012,10003801.55324936
211,16717.22842857143,20012,10003801.55324936
212,16747.385500000008,20012,10003801.55324936
213,16688.536999999997,20012,10003801.55324936
214,16749.82414285714,20012,10003801.55324936
215,16660.837428571427,20012,10003801.55324936
216,16779.92557142857,20012,10003801.55324936
217,16651.26878571429,20012,10003801.55324936
218,16769.56007142856,20012,10003801.55324936
219,16734.721142857146,20012,10003801.55324936
220,16600.29635714286,20012,10003801.55324936
221,16687.293000000005,20012,10003801.55324936
222,16705.158642857143,20012,10003801.55324936
223,16672.585285714293,20012,10003801.55324936
224,16590.866499999993,20012,10003801.55324936
225,16692.98221428572,20012,10003801.55324936
226,16645.43435714285,20012,10003801.55324936
227,16672.058571428573,20012,10003801.55324936
228,16680.081642857134,20012,10003801.55324936
229,16728.05314285714,20012,10003801.55324936
230,16700.532928571418,20012,10003801.55324936
231,16723.368071428562,20012,10003801.55324936
232,16790.49564285715,20012,10003801.55324936
233,16672.518,20012,10003801.55324936
234,16713.954142857154,20012,10003801.55324936
235,16677.88035714285,20012,10003801.55324936
236,16625.87742857144,20012,10003801.55324936
237,16691.746428571438,20012,10003801.55324936
238,16723.300928571425,20012,10003801.55324936
239,16728.468357142865,20012,10003801.55324936
240,16594.15035714286,20012,10003801.55324936
241,16671.850071428573,20012,10003801.55324936
242,16725.175714285717,20012,10003801.55324936
243,16626.913000000004,20012,10003801.55324936
244,16711.079928571427,20012,10003801.55324936
245,16728.96578571429,20012,10003801.55324936
246,16778.692214285715,20012,10003801.55324936
247,16629.634499999996,20012,10003801.55324936
248,16726.087071428567,20012,10003801.55324936
249,16716.193428571434,20012,10003801.55324936
250,16777.58649999999,20012,10003801.55324936
251,16648.209285714285,20012,10003801.55324936
252,16658.08964285714,20012,10003801.55324936
253,16704.28892857143,20012,10003801.55324936
254,16731.751214285716,20012,10003801.55324936
255,16682.679571428565,20012,10003801.55324936
256,16759.004285714276,20012,10003801.55324936
257,16623.84471428571,20012,10003801.55324936
258,16634.627,20012,10003801.55324936
259,16655.581285714292,20012,10003801.55324936
260,16678.000285714286,20012,10003801.55324936
261,16785.19471428572,20012,10003801.55324936
262,16653.033714285713,20012,10003801.55324936
263,16741.60171428572,20012,10003801.55324936
264,16739.486285714294,20012,10003801.55324936
265,16677.259500000007,20012,10003801.55324936
266,16724.45421428572,20012,10003801.55324936
267,16742.299928571432,20012,10003801.55324936
268,16649.299928571432,20012,10003801.55324936
269,16760.394142857138,20012,10003801.55324936
270,16769.59807142858,20012,10003801.55324936
271,16686.906214285715,20012,10003801.55324936
272,16678.63857142857,20012,10003801.55324936
273,16693.585928571432,20012,10003801.55324936
274,16727.567857142854,20012,10003801.55324936
275,16747.05285714286,20012,10003801.55324936
276,16720.37957142857,20012,10003801.55324936
277,16770.653000000002,20012,10003801.55324936
278,16650.21014285714,20012,10003801.55324936
279,16694.71314285714,20012,10003801.55324936
280,16739.571,20012,10003801.55324936
281,16582.220142857146,20012,10003801.55324936
282,16732.55807142857,20012,10003801.55324936
283,16631.278928571428,20012,10003801.55324936
284,16699.17285714285,20012,10003801.55324936
285,16655.95078571428,20012,10003801.55324936
286,16734.820785714284,20012,10003801.55324936
287,16746.456714285716,20012,10003801.55324936
288,16604.629857142856,20012,10003801.55324936
289,16768.974428571433,20012,10003801.55324936
290,16589.665857142856,20012,10003801.55324936
291,16660.434499999996,20012,10003801.55324936
292,16598.592999999993,20012,10003801.55324936
293,16622.316857142854,20012,10003801.55324936
294,16721.86735714286,20012,10003801.55324936
295,16736.89478571428,20012,10003801.55324936
296,16710.38692857143,20012,10003801.55324936
297,16628.156785714284,20012,10003801.55324936
298,16690.629357142854,20012,10003801.55324936
299,16625.676357142856,20012,10003801.55324936
300,16764.717714285714,20012,10003801.55324936
301,16650.515571428572,20012,10003801.55324936
302,16722.240214285717,20012,10003801.55324936
303,16710.585499999997,20012,10003801.55324936
304,16625.593214285724,20012,10003801.55324936
305,16657.798142857144,20012,10003801.55324936
306,16724.96942857142,20012,10003801.55324936
307,16653.285071428578,20012,10003801.55324936
308,16720.408142857137,20012,10003801.55324936
309,16677.00092857143,20012,10003801.55324936
310,16702.054428571424,20012,10003801.55324936
311,16746.395857142863,20012,10003801.55324936
312,16675.221499999996,20012,10003801.55324936
313,16743.808071428568,20012,10003801.55324936
314,16721.458785714283,20012,10003801.55324936
315,16776.810428571425,20012,10003801.55324936
316,16663.77714285714,20012,10003801.55324936
317,16689.238071428575,20012,10003801.55324936
318,16711.020000000004,20012,10003801.55324936
319,16665.158928571433,20012,10003801.55324936
320,16691.268285714283,20012,10003801.55324936
321,16672.061928571424,20012,10003801.55324936
322,16797.20014285714,20012,10003801.55324936
323,16735.02171428571,20012,10003801.55324936
324,16691.112142857153,20012,10003801.55324936
325,16682.418142857143,20012,10003801.55324936
326,16672.34707142857,20012,10003801.55324936
327,16654.61771428572,20012,10003801.55324936
328,16660.564000000006,20012,10003801.55324936
329,16572.987714285726,20012,10003801.55324936
330,16603.738071428583,20012,10003801.55324936
331,16727.943785714284,20012,10003801.55324936
332,16712.449000000004,20012,10003801.55324936
333,16630.155214285725,20012,10003801.55324936
334,16679.512928571432,20012,10003801.55324936
335,16671.67,20012,10003801.55324936
336,16725.699428571435,20012,10003801.55324936
337,16756.574928571423,20012,10003801.55324936
338,16743.84871428572,20012,10003801.55324936
339,16673.502,20012,10003801.55324936
340,16657.896857142856,20012,10003801.55324936
341,16777.07178571429,20012,10003801.55324936
342,16618.39357142857,20012,10003801.55324936
343,16770.850428571437,20012,10003801.55324936
344,16644.578357142855,20012,10003801.55324936
345,16740.120000000003,20012,10003801.55324936
346,16701.421000000002,20012,10003801.55324936
347,16628.780357142863,20012,10003801.55324936
348,16702.29271428571,20012,10003801.55324936
349,16710.047785714283,20012,10003801.55324936
350,16661.107142857145,20012,10003801.55324936
