Generation,Fitness Avg,Fitness Best,Execution Time
1,2563.03,2979,251296.0433959961
2,2801.38,2979,251296.0433959961
3,2170.65,3039,251296.0433959961
4,2592.17,3039,251296.0433959961
5,2902.46,3039,251296.0433959961
6,3039.0,3039,251296.0433959961
7,3039.0,3039,251296.0433959961
8,3039.0,3039,251296.0433959961
9,3039.0,3039,251296.0433959961
10,3039.0,3039,251296.0433959961
11,3039.0,3039,251296.0433959961
12,3039.0,3039,251296.0433959961
13,3039.0,3039,251296.0433959961
14,3039.0,3039,251296.0433959961
15,3039.0,3039,251296.0433959961
16,1181.69,3039,251296.0433959961
17,2884.23,3039,251296.0433959961
18,1245.13,3039,251296.0433959961
19,2829.37,3053,251296.0433959961
20,2940.18,3053,251296.0433959961
21,2888.12,3053,251296.0433959961
22,3052.86,3053,251296.0433959961
23,3053.0,3053,251296.0433959961
24,3053.0,3053,251296.0433959961
25,3053.0,3053,251296.0433959961
26,3053.0,3053,251296.0433959961
27,3053.0,3053,251296.0433959961
28,3053.0,3053,251296.0433959961
29,3053.0,3053,251296.0433959961
30,3053.0,3053,251296.0433959961
31,1363.31,3053,251296.0433959961
32,2937.48,3053,251296.0433959961
33,3044.55,3053,251296.0433959961
34,3053.0,3053,251296.0433959961
35,3053.0,3053,251296.0433959961
36,3053.0,3053,251296.0433959961
37,3053.0,3053,251296.0433959961
38,3053.0,3053,251296.0433959961
39,3053.0,3053,251296.0433959961
40,1055.86,3053,251296.0433959961
41,2936.97,3053,251296.0433959961
42,3045.2,3053,251296.0433959961
43,3053.0,3053,251296.0433959961
44,979.3,3053,251296.0433959961
45,2897.59,3053,251296.0433959961
46,3049.75,3053,251296.0433959961
47,3053.0,3053,251296.0433959961
48,3053.0,3053,251296.0433959961
49,3053.0,3053,251296.0433959961
50,3053.0,3053,251296.0433959961
51,3053.0,3053,251296.0433959961
52,3053.0,3053,251296.0433959961
53,3053.0,3053,251296.0433959961
54,3053.0,3053,251296.0433959961
55,3053.0,3053,251296.0433959961
56,3053.0,3053,251296.0433959961
57,3053.0,3053,251296.0433959961
58,3053.0,3053,251296.0433959961
59,3053.0,3053,251296.0433959961
60,3053.0,3053,251296.0433959961
61,3053.0,3053,251296.0433959961
62,3053.0,3053,251296.0433959961
63,3053.0,3053,251296.0433959961
64,1312.09,3053,251296.0433959961
65,2909.26,3053,251296.0433959961
66,3047.15,3053,251296.0433959961
67,3053.0,3053,251296.0433959961
68,1045.11,3053,251296.0433959961
69,2909.93,3053,251296.0433959961
70,1143.13,3053,251296.0433959961
71,2909.91,3053,251296.0433959961
72,3052.35,3053,251296.0433959961
73,3053.0,3053,251296.0433959961
74,3053.0,3053,251296.0433959961
75,3053.0,3053,251296.0433959961
76,3053.0,3053,251296.0433959961
77,3053.0,3053,251296.0433959961
78,3053.0,3053,251296.0433959961
79,3053.0,3053,251296.0433959961
80,3053.0,3053,251296.0433959961
81,3053.0,3053,251296.0433959961
82,3053.0,3053,251296.0433959961
83,3053.0,3053,251296.0433959961
84,3053.0,3053,251296.0433959961
85,3053.0,3053,251296.0433959961
86,3053.0,3053,251296.0433959961
87,3053.0,3053,251296.0433959961
88,3053.0,3053,251296.0433959961
89,3053.0,3053,251296.0433959961
90,3053.0,3053,251296.0433959961
91,3053.0,3053,251296.0433959961
92,3053.0,3053,251296.0433959961
93,1060.59,3053,251296.0433959961
94,2916.34,3053,251296.0433959961
95,3024.79,3053,251296.0433959961
96,3053.0,3053,251296.0433959961
97,3053.0,3053,251296.0433959961
98,3053.0,3053,251296.0433959961
99,3053.0,3053,251296.0433959961
100,3053.0,3053,251296.0433959961
